SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1716054439,5641,20240518 10:47:19,10:47:19,15,23.d7.corfil.1,35.1852903,1716054431,0.007085875,7.085875198,17.41142181,379.96325,310.6595125,31.43557254,38.44840357,0.494849457,2.948165987,0.45290891,0.286539455,321.5103107,33.03059178,32.23949375,4.840194976,65.81452758,3.320896039,5.045840426,1.519298937,-312.4870962,117.365402,9.082327427,135.4709438,0,0,1,0,52396.37234,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1076-20240518-10_45_59,10446.9,836.5851154,1015.680101,0.176330112,0.5,1681.197525,17.41142181,148.2228739,0.010951373,1.710410489,540.1262121,-,0,540.1262121,0.468212273,0.376602925,0.785087955,0.883354854,0.895491331,0.243146941,0.756853059,2000.000625,1681.197525,0.8405985,0.160755105,6,0.5,0: Broadleaf,2,1716054431,379.96325,400.067,32.8184875,25.965175,388.37625,33.31090625,600.0013125,101.069,0.1207955,32.9779125,999.9,32.23949375,0,0,9999.6125,0,417.6154375,2000.000625,0.980000813,0.019998788,0,837.2566875,4.9992,17873.1375,16265.29375,50.375,51.5974375,50.835625,50.3238125,51.187,1955.100625,39.9,0,316.9000001,0,836.5851154,-34.13494019,-638.1982909,17859.64231,15,1716054405,10:46:45,1716054395,1716054405,20,0.166,-0.266,-8.571,-0.525,400,26,0.21,0.02,-20.09334286,-0.185898701,0.05423511,0,6.82929619,0.319278701,0.062053779,0,0,2,0/2,100,100,-8.413,-0.4924,-5.36822878,-0.007814304,-3.18182E-07,6.4783E-10,-0.492436202,0,0,0,5,2011,2,27,0.7,0.6,1.09375,2.51099,1.59912,2.29492,1.60156,2.53906,40.4255,15.2178,18,593.499,399.162,31.0019,32.8736,30.0009,32.8447,32.8479,21.8906,37.2914,93.0325,31,400,26.2667,97.7862,101.518
20,1716054690,5892,20240518 10:51:30,10:51:30,15,d7.corfil.2,46.08747634,1716054682,0.000855832,0.855831575,2.522062642,397.193,313.8278057,31.75770322,40.19381708,0.054723384,2.947215579,0.054165103,0.033902874,321.5147391,34.75065294,33.22236,5.115572114,70.59624317,3.585392822,5.078730341,1.530179293,-37.74217244,-20.46295034,-1.592591039,261.7170253,0,0,1,0,52349.4779,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1077-20240518-10_50_10,10302.6,121.2648462,136.9691047,0.114655481,0.5,1681.22358,2.522062642,96.38074918,0.00209494,19.09876611,122.4323835,-,0,122.4323835,0.106131388,1.080316418,0.994473733,-0.023232289,1.348441214,1.0907177,-0.0907177,2000.032,1681.22358,0.840598341,0.160754797,6,0.5,0: Broadleaf,2,1716054682,397.193,400.0513333,35.43064667,34.60619333,405.881,35.81879333,600.7682,101.0703333,0.124343,33.09357333,999.9,33.22236,0,0,9994.082,0,391.0862667,2000.032,0.9800042,0.0199954,0,121.2528,4.9992,3192.770667,16265.57333,50.15806667,51.5914,50.6164,50.4538,50.9874,1955.142,39.89,0,249.1000001,0,121.2648462,-3.465709407,-68.91692309,3192.312308,15,1716054673,10:51:13,1716054673,1716054672,21,-0.139,0.104,-8.711,-0.388,400,34,0.37,0.13,-2.000642933,-14.73840114,1.643269251,0,0.549049578,4.472603969,0.509639139,0,0,2,0/2,100,100,-8.684,-0.3881,-5.507286808,-0.007814304,-3.18182E-07,6.4783E-10,-0.388136364,0,0,0,5,2011,2,27,0.3,0.3,1.09985,2.51221,1.59912,2.2998,1.60156,2.48413,40.9638,15.174,18,591.062,404.088,31.0026,33.312,30.0007,33.2054,33.202,22.0134,25.3403,100,31,400,34.5177,97.6875,101.402
21,1716054949,6151,20240518 10:55:49,10:55:49,15,23.i2.corfil.2,41.49549743,1716054941,0.006510915,6.510915022,19.48811025,378.1211875,298.6545107,30.22140971,38.26279168,0.469643972,2.948180276,0.431691933,0.272961267,321.5187961,33.38838616,32.84615625,5.008599478,69.47067646,3.546909906,5.105621662,1.461689572,-287.1313525,54.27879376,4.217195701,92.88343305,0,0,1,0,52360.88899,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1078-20240518-10_54_29,10521.7,735.8471538,955.4750762,0.229862534,0.5,1681.241681,19.48811025,193.2272366,0.012186297,1.881194987,522.614323,-,0,522.614323,0.453031967,0.507387008,0.805917772,1.540826054,0.926525265,0.360357061,0.639642939,2000.053125,1681.241681,0.840598512,0.160755128,6,0.5,0: Broadleaf,2,1716054941,378.1211875,400.0719375,35.05133125,28.768425,386.468625,35.56734375,599.9801875,101.0690625,0.122811813,33.18765625,999.9,32.84615625,0,0,9999.6875,0,413.32025,2000.053125,0.97999825,0.020001713,0,736.1316875,4.9992,15340.90625,16265.73125,48.585625,49.976375,49.034875,48.9803125,49.585625,1955.153125,39.901875,0,257.3,0,735.8471538,-13.49087177,-262.9196578,15336.08462,15,1716054915,10:55:15,1716054905,1716054915,22,0.19,-0.128,-8.517,-0.516,400,28,0.11,0.03,-21.975805,0.275986466,0.065303817,0,6.213897,1.557732632,0.161597629,0,0,2,0/2,100,100,-8.347,-0.516,-5.317315454,-0.007814304,-3.18182E-07,6.4783E-10,-0.516018182,0,0,0,5,2011,2,27,0.7,0.6,1.09375,2.52686,1.59912,2.29492,1.60278,2.37305,41.3781,15.1215,18,596.305,391.783,31.0015,33.6711,30.0015,33.5976,33.5918,21.8884,36.1799,93.6021,31,400,28.5044,97.6392,101.376
22,1716055138,6340,20240518 10:58:58,10:58:58,15,i2.corfil.1,-67.55739416,1716055130,-4.52606E-05,-0.045260577,0.201135761,399.7245333,496.8655964,50.27973684,40.4496598,-0.002977258,2.946080179,-0.00297893,-0.001861681,321.5090255,34.66590264,33.21442,5.113294026,73.01001872,3.642312999,4.988785187,1.470981027,1.99599146,-69.68043275,-5.416527694,248.4080565,0,0,1,0,52371.37377,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1079-20240518-10_57_38,10212.4,15.917244,15.29,-0.041023152,0.5,1681.189318,0.201135761,-34.48384279,0.000714456,179.0464356,15.08999351,-,0,15.08999351,0.013080869,-3.136118305,0.999926947,0.000786369,1.411163242,-2.973128067,3.973128067,1999.990667,1681.189318,0.840598582,0.160755263,6,0.5,0: Broadleaf,2,1716055130,399.7245333,399.9073333,35.99342667,36.037,408.4982,36.37536,600.8008667,101.0658667,0.127971667,32.77570667,999.9,33.21442,0,0,9988.076667,0,129.6418667,1999.990667,0.9799972,0.02000252,0,15.90940667,4.9992,710.9960667,16265.21333,47.8204,49.12913333,48.27893333,47.9916,48.812,1955.089333,39.90533333,0,187.0999999,0,15.917244,-1.112146165,-10.85392304,710.84832,15,1716055123,10:58:43,1716055123,1716055116,23,-0.294,0.134,-8.814,-0.382,400,36,0.36,0.36,-0.047097357,-2.612985997,0.28365869,0,-0.050799394,0.086265227,0.093222311,1,1,2,1/2,100,100,-8.812,-0.3819,-5.611711404,-0.007814304,-3.18182E-07,6.4783E-10,-0.381945455,0,0,0,5,2011,2,27,0.2,0.4,1.10352,2.52563,1.59912,2.2998,1.60156,2.35718,41.5344,15.0952,18,586.996,402.596,30.9986,33.8277,29.9995,33.7636,33.7653,22.0924,19.6803,98.7841,31,400,35.8721,97.5448,101.346
23,1716055374,6576,20240518 11:02:54,11:02:54,15,23.d8.corfil.2,42.29251927,1716055366,0.003746168,3.746168226,10.98500376,387.57575,308.7109622,31.23726094,39.21728192,0.259738695,2.947724325,0.247660707,0.155826291,321.5116074,33.72330219,33.00323125,5.053024309,71.77680375,3.587813401,4.998569473,1.465210908,-165.2060188,-30.62443669,-2.377169888,123.3039821,0,0,1,0,52412.36727,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1080-20240518-11_01_34,10381,452.8784231,548.3041354,0.174037922,0.5,1681.20435,10.98500376,146.2966557,0.00712882,4.020771908,371.6556824,-,0,371.6556824,0.322172389,0.540201234,0.925817057,-0.360597967,1.136410006,0.443317341,0.556682659,2000.00875,1681.20435,0.840598498,0.1607551,6,0.5,0: Broadleaf,2,1716055366,387.57575,400.0130625,35.45756875,31.84411875,396.0158125,35.93690625,599.9814375,101.0658125,0.120296063,32.810525,999.9,33.00323125,0,0,9997.41875,0,50.75764375,2000.00875,0.980000875,0.019999063,0,452.95025,4.9992,9566.0025,16265.3625,47.167625,48.4488125,47.511625,47.4803125,48.2655,1955.10875,39.9,0,234.5,0,452.8784231,-6.225196598,-112.6861537,9563.315,15,1716055340,11:02:20,1716055332,1716055340,24,0.276,-0.097,-8.538,-0.479,400,32,0.23,0.03,-12.4290619,-0.17918961,0.035669254,0,3.567132857,0.946792987,0.101163834,0,0,2,0/2,100,100,-8.44,-0.4794,-5.335901529,-0.007814304,-3.18182E-07,6.4783E-10,-0.479327273,0,0,0,5,2011,2,27,0.7,0.6,1.10229,2.52441,1.59912,2.2998,1.60278,2.34741,41.665,15.0602,18,591.733,399.378,30.9983,33.9939,30.0016,33.9806,33.9877,22.052,28.9486,97.3671,31,400,31.727,97.5164,101.317
24,1716055606,6808,20240518 11:06:46,11:06:46,15,d8.corfil.2,26.6383317,1716055598,0.004588547,4.588546836,8.332467118,389.8911333,336.178242,34.01556824,39.45040695,0.312799886,2.948563465,0.295464669,0.186142815,321.5062741,33.74328743,33.21871333,5.114525729,71.28177698,3.61091105,5.065686074,1.503614679,-202.3549155,-27.17206753,-2.113269762,89.86602135,0,0,1,0,52395.58827,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1081-20240518-11_05_26,10442.5,696.81388,762.3144714,0.085923322,0.5,1681.17628,8.332467118,72.22612505,0.005551153,2.611252447,458.9994709,-,0,458.9994709,0.397886977,0.215949067,0.867773831,-1.29392757,1.026093921,0.142248182,0.857751818,1999.975333,1681.17628,0.840598508,0.16075512,6,0.5,0: Broadleaf,2,1716055598,389.8911333,400.0129333,35.68688667,31.26196,398.2953333,36.20742,599.9822667,101.061,0.1221344,33.04778,999.9,33.21871333,0,0,10002.66267,0,356.2962667,1999.975333,0.979999,0.02000122,0,697.5550667,4.9992,14757.2,16265.08,47,48.5496,47.375,47.6498,48.062,1955.075333,39.9,0,230.3,0,696.81388,-54.83176924,-1108.307692,14742.528,15,1716055575,11:06:15,1716055575,1716055566,25,0.054,-0.041,-8.483,-0.521,400,31,0.37,0.02,-10.11281905,-0.21645974,0.053406149,0,4.340860952,1.631034545,0.167545519,0,0,2,0/2,100,100,-8.404,-0.5205,-5.282341042,-0.007814304,-3.18182E-07,6.4783E-10,-0.52052,0,0,0,5,2011,2,27,0.5,0.7,1.10229,2.52197,1.59912,2.29858,1.60156,2.43896,41.8749,15.0251,18,594.548,396.286,31.0023,34.3783,30.0009,34.2852,34.281,22.0563,29.5393,97.0926,31,400,31.2661,97.374,101.255
25,1716055866,7068,20240518 11:11:06,11:11:06,15,23.j5.corfil.2,56.28444895,1716055858,0.002931503,2.931502755,10.88465921,388.0161333,286.7219322,29.00670638,39.25430456,0.193386618,2.9494843,0.18660852,0.117219518,321.5101515,34.06832065,33.42827333,5.174960489,72.56502137,3.655052384,5.036934207,1.519908105,-129.2792715,-76.61120942,-5.959633488,109.6600371,0,0,1,0,52438.94392,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1082-20240518-11_09_46,10274,152.45436,228.8841118,0.333923361,0.5,1681.19394,10.88465921,280.6949652,0.007069178,11.02752772,190.9898483,-,0,190.9898483,0.165560917,2.016921422,0.985208648,-0.130861236,1.301061709,2.526733355,-1.526733355,1999.996,1681.19394,0.840598651,0.160755397,6,0.5,0: Broadleaf,2,1716055858,388.0161333,400.0381333,36.12901333,33.30345333,396.5554667,36.6209,600.0064667,101.0472667,0.1194148,32.94648,999.9,33.42827333,0,0,10009.25667,0,291.1262,1999.996,0.9799962,0.02000356,0,152.4304667,4.9992,3737.424,16265.24667,46.9748,48.39153333,47.312,47.4664,48.02893333,1955.086,39.91,0,258.3000002,0,152.45436,-3.220999998,-56.38615364,3736.8776,15,1716055837,11:10:37,1716055828,1716055837,26,-0.149,0.029,-8.633,-0.492,400,33,0.2,0.06,-12.00317,-0.446806015,0.05976453,0,2.7079225,1.94619203,0.195245938,0,0,2,0/2,100,100,-8.54,-0.4918,-5.430926601,-0.007814304,-3.18182E-07,6.4783E-10,-0.491881818,0,0,0,5,2011,2,27,0.6,0.5,1.10474,2.52808,1.59912,2.29858,1.60156,2.37915,42.0593,14.9814,18,590.549,400.357,31.0016,34.3218,29.9997,34.2989,34.3054,22.0997,25.3188,99.6248,31,400,33.3221,97.4003,101.257
26,1716056079,7280.9,20240518 11:14:39,11:14:39,15,j5.corfil.1,1261.311361,1716056072,3.53505E-06,0.003535047,0.289362565,399.7511538,-1603.581237,-162.2240368,40.44026232,0.000229414,2.950528332,0.000229404,0.000143378,321.5129118,34.97478882,33.59519231,5.223541566,73.48818222,3.733655556,5.080620371,1.48988601,-0.155895594,-78.73787368,-6.132523773,236.4866188,0,0,1,0,52442.29464,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1083-20240518-11_13_18,10238.3,49.863436,57.74553372,0.136497097,0.5,1681.211216,0.289362565,114.7402252,0.000766925,46.67312418,54.99275431,-,0,54.99275431,0.047670863,2.863323406,0.998979665,-0.010437231,1.389278653,3.157865828,-2.157865828,2000.016923,1681.211216,0.840598495,0.160755096,6,0.5,0: Broadleaf,2,1716056072,399.7511538,400.0415385,36.90710769,36.90370769,408.4131538,37.32424615,600.8080769,101.0414615,0.122129692,33.1002,999.9,33.59519231,0,0,10015.76923,0,252.9959231,2000.016923,0.980000077,0.019999623,0,49.87673077,4.9992,1372.276154,16265.41538,47.22092308,48.59592308,47.62015385,47.562,48.25,1955.116923,39.9,0,211.5,0,49.863436,-3.396184634,-52.55076929,1372.062,15,1716056066,11:14:26,1716056066,1716056059,27,-0.036,0.075,-8.67,-0.417,400,37,0.52,0.27,-0.1515991,-2.077588872,0.220538028,0,-0.025606157,0.432473993,0.096860453,0,0,2,0/2,100,100,-8.666,-0.4171,-5.467333152,-0.007814304,-3.18182E-07,6.4783E-10,-0.41712,0,0,0,5,2011,2,27,0.2,0.3,1.10718,2.52808,1.59912,2.29858,1.60156,2.4646,42.165,14.9463,18,589.914,402.603,31.0002,34.2614,30.0006,34.2694,34.2815,22.1569,16.9484,100,31,400,37.058,97.376,101.246
27,1716056417,7618.9,20240518 11:20:17,11:20:17,15,,35.28116637,1716056409,0.006060206,6.0602063,15.41415426,382.3371333,313.6629482,31.73024704,38.6773502,0.436894691,2.94737289,0.403843323,0.25516293,321.5022194,33.25976547,31.71988667,4.699896761,64.36604974,3.241436586,5.035941461,1.458460175,-267.2550978,194.3469636,15.0027254,263.5968106,0,0,1,0,52379.10965,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1084-20240518-11_18_57,10563.1,423.1536154,582.4121175,0.273446409,0.5,1681.157519,15.41415426,229.8532433,0.009763603,3.72673888,387.0187111,-,0,387.0187111,0.33548994,0.815065897,0.917412348,-0.690854676,1.118828336,0.74546392,0.25453608,1999.953333,1681.157519,0.840598373,0.160754861,6,0.5,0: Broadleaf,2,1716056409,382.3371333,400.0695333,32.04256667,26.17614667,390.653,32.45968667,599.9592667,101.0406,0.119729,32.94297333,999.9,31.71988667,0,0,9997.916667,0,453.2078,1999.953333,0.980004,0.019996027,0,423.2126,4.9992,8979.595333,16264.92,46.90393333,48.2748,47.30793333,47.38306667,48.06213333,1955.065333,39.89066667,0,336.7,0,423.1536154,-10.9085128,-208.2864954,8978.686154,15,1716056392,11:19:52,1716056392,1716056059,28,0.214,0.075,-8.455,-0.417,400,37,0.22,0.27,-17.0773135,-10.26032797,1.826324909,0,5.5223315,5.463231429,0.624518166,0,0,2,0/2,100,100,-8.315,-0.4171,-5.253264341,-0.007814304,-3.18182E-07,6.4783E-10,-0.41712,0,0,0,5,2011,2,27,0.4,6,1.09741,2.52563,1.59912,2.2937,1.60156,2.56348,42.0329,14.9113,18,596.123,387.965,31.0018,34.1727,30.0012,34.2344,34.2501,21.9744,39.0742,92.1727,31,400,25.7863,97.4242,101.303
28,1716056583,7784.9,20240518 11:23:03,11:23:03,15,23.e5.corfil.2,40.49781316,1716056575,0.005939951,5.93995085,15.8701539,381.926125,304.2063353,30.77282802,38.63478697,0.391876812,2.946747721,0.365056504,0.230416867,321.5090139,33.75544338,32.18176875,4.824430866,62.76080447,3.244103711,5.168996379,1.580327155,-261.9518325,194.7556596,15.10602035,269.4188614,0,0,1,0,52281.78111,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1085-20240518-11_21_43,10565.1,406.69636,573.4326445,0.290768735,0.5,1681.1907,15.8701539,244.4188464,0.010034646,3.800755636,383.0329966,-,0,383.0329966,0.332034895,0.875717399,0.919658426,-0.69617515,1.123456992,0.824764352,0.175235648,1999.9925,1681.1907,0.840598502,0.16075511,6,0.5,0: Broadleaf,2,1716056575,381.926125,400.065625,32.06975,26.3200625,390.209,32.61886875,599.9760625,101.037375,0.120373688,33.4076875,999.9,32.18176875,0,0,9994.684375,0,455.9524375,1999.9925,0.980001625,0.019998188,0,406.7088125,4.9992,8676.63125,16265.25,47.8710625,49.1405,48.246,48.3474375,48.9724375,1955.0925,39.9,0,164.3,0,406.69636,-3.894153864,-43.04076926,8675.5608,15,1716056557,11:22:37,1716056549,1716056557,30,0.051,-0.132,-8.425,-0.582,400,26,0.12,0.02,-17.936735,-3.126888722,0.71035879,0,5.5667205,3.296133383,0.352818292,0,0,2,0/2,100,100,-8.282,-0.5492,-5.223748867,-0.007814304,-3.18182E-07,6.4783E-10,-0.549112102,0,0,0,5,2011,2,27,0.6,0.4,1.09741,2.53052,1.59912,2.29126,1.60278,2.48657,42.5103,14.8763,18,596.561,384.946,32.0008,34.6464,30.0014,34.6282,34.6339,21.9703,37.3007,86.154,32,400,26.0745,97.3253,101.206
29,1716056846,8047.9,20240518 11:27:26,11:27:26,15,e5.corfil.2,29.53738365,1716056838,0.00050268,0.502680318,0.602496633,399.1989375,337.2172435,34.10726474,40.3762978,0.020397766,2.947028339,0.020319655,0.012706777,321.5151763,35.85610096,34.89174375,5.614598176,59.93230619,3.221751663,5.375651077,2.392846514,-22.16820201,-124.3257361,-9.80451384,165.2167243,0,0,1,0,52170.03779,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1086-20240518-11_26_06,10248.8,77.039092,77.81708979,0.009997775,0.5,1681.222292,0.602496633,8.404241463,0.000953174,34.37667635,72.89955541,-,0,72.89955541,0.063193501,0.158208917,0.998165106,-0.001058329,1.378932352,0.149707887,0.850292113,2000.03,1681.222292,0.840598537,0.160755177,6,0.5,0: Broadleaf,2,1716056838,399.1989375,400.002125,31.8533375,31.36665625,407.758125,32.37980625,599.984,101.0234375,0.11986225,34.10923125,999.9,34.89174375,0,0,9997.6575,0,351.2455625,2000.03,0.979998313,0.020001956,0,77.24650625,4.9992,1999.04125,16265.54375,48.9724375,49.9371875,49.323875,49.113125,49.941,1955.13,39.903125,0,261.9000001,0,77.039092,-9.6557769,-188.6153843,1994.1956,15,1716056804,11:26:44,1716056804,1716056792,31,-0.14,0.023,-8.566,-0.526,400,31,0.66,0.25,-0.7852997,-0.340011068,0.067955924,0,0.4904596,-0.117286105,0.011375493,0,0,2,0/2,100,100,-8.559,-0.5265,-5.364021284,-0.007814304,-3.18182E-07,6.4783E-10,-0.52647,0,0,0,5,2011,2,27,0.7,0.9,1.10229,2.52563,1.59912,2.29004,1.60278,2.55493,42.6706,14.8325,18,593.021,390.714,32.0043,34.9809,30.0004,34.8955,34.9021,22.0531,23.3259,82.763,32,400,31.4264,97.2836,101.152
30,1716057095,8296.9,20240518 11:31:35,11:31:35,15,23.j8.corfil.2,32.74357901,1716057087,0.006811329,6.811328815,12.47044056,384.9614,318.6840203,32.23516092,38.9391745,0.380851481,2.948094282,0.355477461,0.224312138,321.5179311,34.05389585,33.20834667,5.111552105,61.1296626,3.253535437,5.322351373,1.858016668,-300.3796008,114.787956,8.967128993,144.8934154,0,0,1,0,52230.76974,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1087-20240518-11_30_15,10389.3,316.9591923,413.7838987,0.233998246,0.5,1681.24038,12.47044056,196.7036499,0.008012204,5.653013828,304.5458724,-,0,304.5458724,0.26399777,0.88636448,0.95538326,-0.242575966,1.205751263,0.851651097,0.148348903,2000.052,1681.24038,0.840598335,0.160754786,6,0.5,0: Broadleaf,2,1716057087,384.9614,400.0543333,32.16518,25.57276667,393.251,32.71466667,599.9843333,101.0248667,0.125987667,33.93056667,999.9,33.20834667,0,0,10003.57333,0,483.362,2000.052,0.9800056,0.019994427,0,316.9427333,4.9992,7188.448667,16265.75333,49.63326667,50.6498,49.9706,49.62486667,50.5496,1955.162,39.89,0,247.3,0,316.9591923,-3.149435903,-35.14803421,7187.998462,15,1716057060,11:31:00,1716057056,1716057060,32,0.157,-0.023,-8.407,-0.598,400,25,0.18,0.02,-15.11818571,0.257781818,0.051519855,0,6.533275238,0.763852987,0.113642287,0,0,2,0/2,100,100,-8.289,-0.5495,-5.206827018,-0.007814304,-3.18182E-07,6.4783E-10,-0.549479574,0,0,0,5,2011,2,27,0.7,0.6,1.09741,2.52686,1.59912,2.28882,1.60156,2.49512,42.4571,14.7887,18,599.69,380.279,32.0032,35.0354,30.0011,35.0123,35.0216,21.9643,35.2023,75.6704,32,400,25.4749,97.2674,101.159
31,1716057323,8524.9,20240518 11:35:23,11:35:23,15,j8.corfil.1-j5,131.535742,1716057315,0.000141442,0.141442363,0.749735818,399.1800625,177.0789398,17.91149876,40.37698216,0.005699864,2.948727352,0.00569375,0.003559142,321.5157774,36.00755203,34.9468375,5.631764016,59.86986751,3.229091569,5.393517146,2.402672447,-6.237608205,-123.6899876,-9.754209831,181.8339718,0,0,1,0,52208.2156,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1088-20240518-11_34_03,10300.9,35.47364231,43.26822222,0.180145601,0.5,1681.22355,0.749735818,151.4325137,0.001040751,62.62429189,41.70401439,-,0,41.70401439,0.036151423,4.983084602,0.999423058,-0.010127201,1.396741285,5.858282895,-4.858282895,2000.03125,1681.22355,0.840598641,0.160755377,6,0.5,0: Broadleaf,2,1716057315,399.1800625,399.9848125,31.92385625,31.787175,407.6760625,32.45680625,601.0786875,101.0223125,0.127484188,34.168775,999.9,34.9468375,0,0,10007.425,0,360.2993125,2000.03125,0.979995063,0.020004963,0,35.53891875,4.9992,1145.626875,16265.51875,50.378875,51.5,50.7655,50.409875,51.261625,1955.12125,39.91,0,226.9000001,0,35.47364231,-3.437705975,-61.048547,1144.317308,15,1716057307,11:35:07,1716057307,1716057305,33,-0.108,0.017,-8.516,-0.533,400,32,0.6,0.18,-0.565757515,-5.468809006,0.576921171,0,0.072265084,1.136215736,0.155323723,0,0,2,0/2,100,100,-8.508,-0.533,-5.315046593,-0.007814304,-3.18182E-07,6.4783E-10,-0.53295,0,0,0,5,2011,2,27,0.3,0.3,1.10474,2.53052,1.59912,2.28882,1.60278,2.57324,42.4038,14.7449,18,589.588,390.059,32.0019,35.2312,30.0001,35.202,35.2086,22.1018,19.0066,78.598,32,400,31.7145,97.2324,101.117
32,1716057607,8809,20240518 11:40:07,11:40:07,15,23.e6.corfil.2,18.83167808,1716057599,0.005499588,5.499588113,4.312834769,393.5455333,347.5426766,35.15142057,39.80427581,0.229020205,2.947379143,0.219573235,0.138049573,321.5019711,35.00166569,35.03138,5.658194056,58.77340702,3.236289384,5.506383836,2.421904672,-242.5318358,-77.91776481,-6.161116124,-5.108745593,0,0,1,0,52106.72975,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1089-20240518-11_38_47,10275.4,193.57344,228.0611361,0.151221276,0.5,1681.15638,4.312834769,127.1133067,0.003160226,11.07092996,190.4164784,-,0,190.4164784,0.165063887,0.916137858,0.985309365,-0.05896594,1.301485929,0.901196697,0.098803303,1999.952,1681.15638,0.840598365,0.160754844,6,0.5,0: Broadleaf,2,1716057599,393.5455333,400.0228,31.99724667,26.67355333,401.8114,32.58877333,599.9913333,101.0223333,0.1204124,34.54102,999.9,35.03138,0,0,9999.76,0,396.4222667,1999.952,0.9800048,0.01999556,0,193.9141333,4.9992,4472.643333,16264.94,50.875,51.9832,51.2374,50.6954,51.625,1955.062,39.89,0,282.0999999,0,193.57344,-34.84253841,-733.5353835,4465.3724,15,1716057562,11:39:22,1716057558,1716057562,34,0.199,-0.059,-8.315,-0.592,400,27,0.38,0.03,-6.4541195,-0.408809774,0.079501287,0,5.321022,0.02865203,0.026039978,1,1,2,1/2,100,100,-8.265,-0.5915,-5.116537906,-0.007814304,-3.18182E-07,6.4783E-10,-0.591545455,0,0,0,5,2011,2,27,0.8,0.8,1.10107,2.52686,1.59912,2.2876,1.60156,2.54639,42.0065,14.6924,18,597.179,385.745,32.0063,35.2283,30.0015,35.1737,35.1855,22.0317,31.4224,75.8169,32,400,26.7179,97.2208,101.11
33,1716057792,8994,20240518 11:43:12,11:43:12,15,e6.corfil.2,54.71058144,1716057784,0.003713644,3.71364449,9.052374741,389.5319333,287.1879782,29.04857877,39.4004969,0.165459304,2.947826887,0.160467635,0.100728209,321.5187511,35.6235479,34.4858,5.489512229,58.48826913,3.249798785,5.556325796,2.239713444,-163.771722,34.61666082,2.731687693,195.0953776,0,0,1,0,52092.02261,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-1090-20240518-11_41_52,10338.8,176.77848,260.1671893,0.320519699,0.5,1681.2403,9.052374741,269.4353179,0.005979142,9.581311223,212.2899141,-,0,212.2899141,0.184025032,1.741717942,0.98115528,-0.150856394,1.284936195,2.091595947,-1.091595947,2000.051333,1681.2403,0.840598575,0.16075525,6,0.5,0: Broadleaf,2,1716057784,389.5319333,400.0313333,32.12904667,28.53456667,397.8543333,32.72528,599.9747333,101.0279333,0.120377067,34.70362,999.9,34.4858,0,0,10001.75,0,384.4566667,2000.051333,0.9799952,0.02000444,0,176.8873333,4.9992,4114.097333,16265.69333,50.75,52.0872,51.125,50.90806667,51.562,1955.145333,39.906,0,183.5,0,176.77848,-2.970153852,-61.93615393,4112.978,15,1716057763,11:42:43,1716057763,1716057754,35,-0.087,-0.005,-8.404,-0.596,400,28,0.45,0.01,-10.49315,-0.047097744,0.05073312,1,3.510383,1.464352782,0.165915771,0,1,2,1/2,100,100,-8.323,-0.5962,-5.203901906,-0.007814304,-3.18182E-07,6.4783E-10,-0.59626,0,0,0,5,2011,2,27,0.5,0.6,1.10229,2.53662,1.59912,2.2876,1.60156,2.41455,41.9802,14.6486,18,593.843,386.244,32.0037,35.7536,30.0009,35.5417,35.5337,22.0654,25.1914,72.4898,32,400,28.3147,97.1028,101.025
