SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1714075332,1666.9,20240425 13:02:12,13:02:12,15,i7.plaere.2,35.71337551,1714075324,0.003391519,3.391519389,9.036072612,389.6361333,322.2322918,32.76166766,39.61468118,0.253016481,2.956416478,0.241572834,0.151968051,321.5131307,29.2485606,27.51564,3.68899735,59.84877823,2.303672219,3.849154965,1.385325131,-149.566005,116.0906238,8.549142507,296.586892,0,0,1,0,53469.72594,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-349-20240424-13_00_55,10218.1,198.7102,291.1096662,0.317404322,0.5,1681.20962,9.036072612,266.8115997,0.005969555,8.456608007,232.4506331,-,0,232.4506331,0.201501495,1.575195863,0.976726848,-0.177069381,1.268986251,1.842659691,-0.842659691,2000.014667,1681.20962,0.840598646,0.160755386,6,0.5,0: Broadleaf,2,1714075324,389.6361333,399.9936,22.65811333,19.34346,399.9913333,23.04886,600.0037333,101.5476,0.123363733,28.244,999.9,27.51564,0,0,9999.213333,0,523.4308667,2000.014667,0.9799928,0.020006733,0,198.768,4.9992,4434.108667,16265.38,43.687,50.4832,48.75,44,44.687,1955.104667,39.91,0,64.70000005,0,198.7102,-0.731230755,-22.85923074,4433.6372,15,1714075178,12:59:38,1714075178,1714075175,5,0.008,0.012,-10.434,-0.481,400,19,0.32,0.06,-10.36086,0.009536842,0.042743098,1,3.3130185,0.056717143,0.009142423,1,2,2,2/2,100,100,-10.354,-0.3908,-7.220066117,-0.007814304,-3.18182E-07,6.4783E-10,-0.458508622,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.6,2.6,1.06201,2.50122,1.59912,2.29248,1.60156,2.46216,38.6733,14.7975,18,608.287,413.015,25.0038,30.2472,30.0008,30.156,30.1671,21.2663,32.5464,54.288,25,400,19.4115,99.8632,102.293
16,1714075909,2243.9,20240425 13:11:49,13:11:49,15,h4.plaere.2,43.07588524,1714075901,0.001743065,1.743065404,4.216121265,395.0693333,314.7915802,32.00343076,40.16490545,0.097876602,2.956943019,0.096111744,0.060225755,321.5066527,29.6080235,29.30385333,4.093030497,60.1698941,2.307281345,3.834610946,1.785749152,-76.86918434,-179.3245468,-13.31724026,51.99568134,0,0,1,0,53496.5676,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-350-20240424-13_10_33,10202.9,134.5977692,183.7846295,0.267633155,0.5,1681.18102,4.216121265,224.9698905,0.003102653,13.97900019,158.5286364,-,0,158.5286364,0.137421683,1.947532216,0.990265119,-0.078179692,1.324309177,2.293794527,-1.293794527,1999.981333,1681.18102,0.840598356,0.160754827,6,0.5,0: Broadleaf,2,1714075901,395.0693333,399.9740667,22.69484,20.99134,405.4192,23.09788667,600.0024,101.5462,0.119259867,28.17896,999.9,29.30385333,0,0,10002.33867,0,375.6557333,1999.981333,0.9800046,0.01999506,0,134.6626667,4.9992,3077.207333,16265.18,43.687,50.4246,48.75,44,44.687,1955.091333,39.89,0,575.8999999,0,134.5977692,-7.307487178,-148.1100856,3075.516154,15,1714075868,13:11:08,1714075862,1714075868,6,0.047,-0.014,-10.387,-0.462,400,21,0.42,0.06,-4.933530952,0.484480519,0.054343651,0,1.701999524,-0.011598701,0.009708312,1,1,2,1/2,100,100,-10.35,-0.4038,-7.172579542,-0.007814304,-3.18182E-07,6.4783E-10,-0.472377382,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.8,0.7,1.06567,2.51465,1.59912,2.29126,1.60278,2.45605,39.4416,14.6837,18,607.123,409.146,24.9997,30.4159,29.9997,30.3964,30.3983,21.3314,25.3504,45.2162,25,400,20.9797,99.8184,102.268
17,1714075962,2296.9,20240425 13:12:42,13:12:42,15,h4.plaere.2,46.14036122,1714075954,0.001663264,1.663264222,4.246038916,395.06125,309.802497,31.49627494,40.16416223,0.092024397,2.957023391,0.090462503,0.056677186,321.5108289,29.65961564,29.3617125,4.106723296,59.77630805,2.29633939,3.841554397,1.810383906,-73.34995218,-183.5989287,-13.64033067,50.92161733,0,0,1,0,53493.391,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-351-20240424-13_11_25,10211.3,129.78504,176.4244899,0.264359273,0.5,1681.203,4.246038916,222.2208014,0.003120408,14.60389945,153.0220833,-,0,153.0220833,0.132648288,1.992933918,0.990998686,-0.073273537,1.328103114,2.34975387,-1.34975387,2000.0075,1681.203,0.840598348,0.160754812,6,0.5,0: Broadleaf,2,1714075954,395.06125,399.9645625,22.58716875,20.9614125,405.4110625,22.99353125,599.9776875,101.546375,0.11928375,28.2100375,999.9,29.3617125,0,0,10002.7775,0,373.9068125,2000.0075,0.980004938,0.019994744,0,129.915625,4.9992,2977.598125,16265.3875,43.687,50.3395625,48.75,44,44.687,1955.1175,39.89,0,51.5,0,129.78504,-3.723230758,-72.4899999,2975.9868,15,1714075868,13:11:08,1714075862,1714075868,6,0.047,-0.014,-10.387,-0.462,400,21,0.42,0.06,-4.89680619,-0.190791429,0.036958787,0,1.642363333,-0.231069351,0.027470037,0,0,2,0/2,100,100,-10.349,-0.4063,-7.172579542,-0.007814304,-3.18182E-07,6.4783E-10,-0.472377382,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.7,1.6,1.06689,2.51465,1.59912,2.29126,1.60156,2.37915,39.3667,14.6749,18,607.431,409.236,25.0001,30.3613,29.9998,30.3447,30.3511,21.3477,24.5088,44.4645,25,400,21.0543,99.8286,102.28
18,1714076017,2351.9,20240425 13:13:37,13:13:37,15,h4.plaere.2,48.07942879,1714076009,0.001606298,1.606298084,4.267781696,395.0489333,306.720292,31.18200305,40.16172834,0.088765233,2.956996519,0.087311058,0.054698079,321.5163351,29.72005795,29.41946667,4.120431055,59.95235876,2.309245126,3.851800285,1.811185929,-70.83774549,-185.5078802,-13.78937385,51.3813356,0,0,1,0,53484.42637,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-352-20240424-13_12_21,10208.2,126.7168462,177.9014268,0.287713154,0.5,1681.23198,4.267781696,241.856278,0.003133287,14.47435594,154.131949,-,0,154.131949,0.133610383,2.153374215,0.990853595,-0.08060125,1.327341796,2.61925525,-1.61925525,2000.042,1681.23198,0.840598338,0.160754792,6,0.5,0: Broadleaf,2,1714076009,395.0489333,399.9512667,22.71478,21.14497333,405.3986667,23.11724,600.0018,101.5438,0.118867467,28.25580667,999.9,29.41946667,0,0,10002.87867,0,370.4854667,2000.042,0.9800058,0.019993847,0,126.7812,4.9992,2912.804,16265.68,43.687,50.312,48.75,44,44.687,1955.152,39.89,0,53.29999995,0,126.7168462,-2.699829058,-46.57982906,2912.281538,15,1714075868,13:11:08,1714075862,1714075868,6,0.047,-0.014,-10.387,-0.462,400,21,0.42,0.06,-4.906035,0.013810827,0.029414038,1,1.566627,0.051171429,0.014538486,1,2,2,2/2,100,100,-10.35,-0.4021,-7.172579542,-0.007814304,-3.18182E-07,6.4783E-10,-0.472377382,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.6,2.5,1.06812,2.51831,1.59912,2.29004,1.60278,2.45728,39.292,14.6661,18,607.226,409.407,24.9998,30.3317,29.9999,30.3094,30.3154,21.3688,23.3997,43.3422,25,400,21.2166,99.831,102.284
19,1714076332,2666.9,20240425 13:18:52,13:18:52,15,h7.plaere.2,23.71350557,1714076324,0.000771933,0.771933337,0.959777707,398.73325,349.0607944,35.48575868,40.53549443,0.040473885,2.957796925,0.040168703,0.025132667,321.5122612,30.11295802,29.85205625,4.224379243,59.96255139,2.333751861,3.89201561,1.890627382,-34.04226017,-226.0555426,-16.84996748,44.56449089,0,0,1,0,53475.90702,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-353-20240424-13_17_36,10226.1,67.323008,76.16523755,0.116092719,0.5,1681.206582,0.959777707,97.58792205,0.001165697,35.14391668,71.44793204,-,0,71.44793204,0.061935151,1.874423763,0.998240771,-0.012001331,1.379783833,1.989270914,-0.989270914,2000.01125,1681.206582,0.840598563,0.160755226,6,0.5,0: Broadleaf,2,1714076324,398.73325,400.0008125,22.9562875,22.20208125,408.91725,23.3625125,600.0050625,101.5389375,0.12174525,28.43443125,999.9,29.85205625,0,0,10007.90063,0,468.503375,2000.01125,0.97999725,0.0200024,0,67.3665375,4.9992,1675.87375,16265.375,43.687,50.687,48.75,44,44.687,1955.105625,39.904375,0,313.0999999,0,67.323008,-4.074123085,-90.80923062,1674.3256,15,1714076306,13:18:26,1714076306,1714076306,7,0.193,-0.012,-10.193,-0.436,400,22,0.62,0.23,-1.210470714,-0.77074574,0.150821135,0,0.705502095,0.850546675,0.095866131,0,0,2,0/2,100,100,-10.184,-0.4057,-6.979553142,-0.007814304,-3.18182E-07,6.4783E-10,-0.484056964,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.4,0.4,1.06934,2.5061,1.59912,2.29126,1.60156,2.50366,39.3917,14.6049,18,606.461,407.177,25.001,30.3827,30.001,30.2969,30.306,21.414,20.6673,42.3028,25,400,22.0962,99.8038,102.255
20,1714076385,2719.9,20240425 13:19:45,13:19:45,15,h7.plaere.2,23.42445642,1714076377,0.000764603,0.764602769,0.941176173,398.720625,349.5344519,35.53418368,40.53452199,0.040179211,2.956983609,0.039878356,0.024950815,321.5026104,30.1259572,29.8658,4.227718888,60.1241228,2.341502393,3.894447493,1.886216495,-33.71898212,-226.4706377,-16.8876051,44.42538553,0,0,1,0,53450.36352,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-354-20240424-13_18_29,10200.4,64.43978077,72.94637343,0.116614333,0.5,1681.15425,0.941176173,98.02334054,0.001154669,36.73881923,68.60800871,-,0,68.60800871,0.059473343,1.9607832,0.998383802,-0.011495557,1.381443064,2.087614657,-1.087614657,1999.94875,1681.15425,0.840598666,0.160755425,6,0.5,0: Broadleaf,2,1714076377,398.720625,399.966625,23.03235,22.28538125,408.9045,23.436175,600.0188125,101.53975,0.121712813,28.44518125,999.9,29.8658,0,0,10003.20438,0,468.870625,1999.94875,0.979992438,0.020007238,0,64.46895,4.9992,1617.165,16264.825,43.687,50.812,48.75,44,44.687,1955.03875,39.91,0,51.69999981,0,64.43978077,-2.629719639,-41.66153844,1616.393846,15,1714076306,13:18:26,1714076306,1714076306,7,0.193,-0.012,-10.193,-0.436,400,22,0.62,0.23,-1.2668735,0.456224211,0.06400603,0,0.7459684,-0.016690827,0.012488909,1,1,2,1/2,100,100,-10.185,-0.4034,-6.979553142,-0.007814304,-3.18182E-07,6.4783E-10,-0.484056964,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.3,1.3,1.07056,2.50854,1.59912,2.29004,1.60156,2.41943,39.4166,14.5873,18,606.638,406.905,24.9988,30.4884,30.0008,30.3727,30.3768,21.4209,19.5238,41.9307,25,400,22.3669,99.7815,102.235
21,1714076445,2780,20240425 13:20:45,13:20:45,15,h7.plaere.2,24.35624743,1714076437,0.000775565,0.775565483,0.986729671,398.6780625,347.9450264,35.37423595,40.53206909,0.040512385,2.956258963,0.040206466,0.025156334,321.5110892,30.13030832,29.87359375,4.229613742,59.851524,2.331800512,3.895975166,1.897813231,-34.20243779,-226.5814888,-16.90123302,43.82592955,0,0,1,0,53428.18032,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-355-20240424-13_19_29,10215.4,62.46500385,72.51647763,0.138609515,0.5,1681.198875,0.986729671,116.5150802,0.001181734,36.96254438,68.22759368,-,0,68.22759368,0.059143578,2.343610576,0.998402461,-0.013575376,1.381664663,2.559815901,-1.559815901,2000.001875,1681.198875,0.84059865,0.160755394,6,0.5,0: Broadleaf,2,1714076437,398.6780625,399.974,22.93585625,22.178075,408.8615625,23.3427375,599.9968125,101.5436875,0.122476,28.45193125,999.9,29.87359375,0,0,9998.705,0,469.5880625,2000.001875,0.979993813,0.020005688,0,62.49415,4.9992,1576.55,16265.275,43.687,50.812,48.75,44,44.687,1955.091875,39.91,0,58.10000014,0,62.46500385,-2.925145313,-25.38905982,1576.638077,15,1714076306,13:18:26,1714076306,1714076306,7,0.193,-0.012,-10.193,-0.436,400,22,0.62,0.23,-1.310542381,0.189414936,0.04735625,0,0.772876143,-0.285957621,0.029868189,0,0,2,0/2,100,100,-10.183,-0.4068,-6.979553142,-0.007814304,-3.18182E-07,6.4783E-10,-0.484056964,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.3,2.3,1.07056,2.50366,1.59912,2.29004,1.60156,2.53418,39.3917,14.5873,18,606.749,406.438,24.9991,30.5787,30.0005,30.4436,30.4443,21.4338,19.2513,41.5583,25,400,22.2454,99.7665,102.219
22,1714077322,3657,20240425 13:35:22,13:35:22,15,g2.plaere.2,19.98790424,1714077314,0.00145325,1.453249839,1.49506464,397.9244667,353.7358322,35.95401932,40.44539076,0.074798469,2.957232609,0.07376311,0.046193773,321.5112279,31.91796173,31.08578667,4.533492089,59.61495585,2.601289479,4.363484703,1.93220261,-64.08831791,-106.6780187,-8.080817722,142.6640736,0,0,1,0,53109.86701,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-356-20240424-13_34_06,10213.3,83.012932,95.33708315,0.129269228,0.5,1681.2051,1.49506464,108.6640428,0.001484093,27.87554254,88.05952416,-,0,88.05952416,0.076335029,1.693445723,0.997269055,-0.01717415,1.369901306,1.796395103,-0.796395103,2000.01,1681.2051,0.840598347,0.16075481,6,0.5,0: Broadleaf,2,1714077314,397.9244667,399.9978,25.59294667,24.1769,407.9389333,25.94875333,600.0043333,101.5215333,0.119341133,30.41666667,999.9,31.08578667,0,0,10006.41267,0,440.6418,2000.01,0.9800056,0.019994287,0,82.98485333,4.9992,2094.360667,16265.42,43.687,50.687,48.75,44,44.687,1955.12,39.89,0,875.4000001,0,83.012932,-0.345530772,-5.007692317,2094.3068,15,1714077279,13:34:39,1714077279,1714077258,8,0.162,-0.041,-10.028,-0.417,400,24,0.74,0.12,-2.082044762,0.331805455,0.062056768,0,1.401615238,0.228525195,0.026415434,0,0,2,0/2,100,100,-10.013,-0.3568,-6.81770085,-0.007814304,-3.18182E-07,6.4783E-10,-0.525351399,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.7,1.1,1.07422,2.52075,1.59912,2.29004,1.60156,2.42188,40.2982,14.4297,18,607.144,407.069,28.0034,30.6638,30.0002,30.6215,30.6236,21.4955,22.313,55.7412,28,400,24.2958,99.7387,102.189
23,1714077375,3710,20240425 13:36:15,13:36:15,15,g2.plaere.2,21.01266116,1714077367,0.001392372,1.392372086,1.474440522,397.921,351.8841463,35.76643654,40.44574427,0.070169148,2.954526326,0.069256315,0.043366222,321.5127083,32.14134811,31.3572,4.604079132,59.64020094,2.633344858,4.415385624,1.970734274,-61.403609,-116.8967145,-8.88393298,134.3284519,0,0,1,0,52995.65779,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-357-20240424-13_34_59,10225.2,82.59734615,94.53482733,0.126276014,0.5,1681.212936,1.474440522,106.148434,0.001471819,28.12059056,87.37463406,-,0,87.37463406,0.075741327,1.667200971,0.997313788,-0.016616734,1.370314846,1.763628997,-0.763628997,2000.019333,1681.212936,0.840598342,0.1607548,6,0.5,0: Broadleaf,2,1714077367,397.921,399.9494667,25.90787333,24.55159333,407.9353333,26.25188667,600.0082667,101.5238667,0.118781667,30.62331333,999.9,31.3572,0,0,9990.829333,0,437.4839333,2000.019333,0.9800074,0.019992413,0,82.58926667,4.9992,2084.049333,16265.5,43.687,50.8372,48.75,44,44.687,1955.137333,39.89,0,51.0999999,0,82.59734615,-0.777415388,-1.205811943,2084.035,15,1714077279,13:34:39,1714077279,1714077258,8,0.162,-0.041,-10.028,-0.417,400,24,0.74,0.12,-2.0185425,-0.059102707,0.036289238,1,1.344742,0.18859218,0.019558539,0,1,2,1/2,100,100,-10.014,-0.3437,-6.81770085,-0.007814304,-3.18182E-07,6.4783E-10,-0.525351399,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.6,1.9,1.07544,2.51953,1.59912,2.29004,1.60156,2.44751,40.222,14.421,18,607.293,407.812,28.0035,30.6971,30.0005,30.6386,30.6459,21.5253,20.6071,55.7412,28,400,24.7003,99.7365,102.183
24,1714077427,3762,20240425 13:37:07,13:37:07,15,g2.plaere.2,22.28687786,1714077419,0.001329461,1.329461096,1.496311469,397.9496667,349.9302203,35.56892993,40.44990398,0.067138676,2.955060341,0.06630263,0.041513391,321.5105606,32.21304992,31.46463333,4.632282824,60.21727442,2.667325519,4.42950224,1.964957305,-58.62923433,-125.1373426,-9.51615138,128.2278322,0,0,1,0,53001.37938,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-358-20240424-13_35_51,10221.8,82.40192,94.84249803,0.131170923,0.5,1681.194657,1.496311469,110.2619276,0.001484844,28.02612286,87.63739824,-,0,87.63739824,0.075969106,1.726635077,0.997296674,-0.017324454,1.370156251,1.836338351,-0.836338351,1999.996667,1681.194657,0.84059873,0.160755548,6,0.5,0: Broadleaf,2,1714077419,397.9496667,399.9750667,26.24138,24.94678667,407.9643333,26.57271333,599.9911333,101.5266667,0.1191126,30.67915333,999.9,31.46463333,0,0,9993.582,0,436.9778,1999.996667,0.9799922,0.0200076,0,82.40728667,4.9992,2078.777333,16265.21333,43.687,50.979,48.75,44,44.687,1955.086667,39.91533333,0,50.29999995,0,82.40192,-0.11911538,2.927692273,2078.8624,15,1714077279,13:34:39,1714077279,1714077258,8,0.162,-0.041,-10.028,-0.417,400,24,0.74,0.12,-2.018064762,-0.325248312,0.048645077,0,1.28615381,0.415535065,0.057576253,0,0,2,0/2,100,100,-10.014,-0.3318,-6.81770085,-0.007814304,-3.18182E-07,6.4783E-10,-0.525351399,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.5,2.8,1.07666,2.51343,1.59912,2.29004,1.60156,2.55859,40.0953,14.421,18,607.344,407.555,28.003,30.7578,30.0006,30.6784,30.6842,21.5486,19.7469,55.7412,28,400,24.7733,99.7268,102.169
25,1714077679,4014,20240425 13:41:19,13:41:19,15,g5.plaere.2,31.9127794,1714077671,0.004559765,4.559765047,7.29629366,390.971,326.1759787,33.15017505,39.73547391,0.228632347,2.956659435,0.21924489,0.137839364,321.5057417,31.3005115,31.7221875,4.700510114,60.40692812,2.663368593,4.409044915,2.037141522,-201.0856386,-179.1659482,-13.62931247,-72.37515758,0,0,1,0,53061.38605,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-359-20240424-13_40_03,10169,155.2384231,197.0705535,0.212269818,0.5,1681.176225,7.29629366,178.4314853,0.004934815,12.96915953,168.3166758,-,0,168.3166758,0.145906515,1.4548344,0.988874893,-0.067924139,1.31746067,1.577398721,-0.577398721,1999.975625,1681.176225,0.840598358,0.16075483,6,0.5,0: Broadleaf,2,1714077671,390.971,400.0501875,26.2058,21.76545,401.13575,26.50684375,599.9895625,101.5131875,0.119603438,30.59818125,999.9,31.7221875,0,0,10003.98188,0,428.053375,1999.975625,0.98000475,0.019995625,0,155.2976875,4.9992,3570.805625,16265.1125,43.687,50.75,48.75,44,44.687,1955.085625,39.89,0,250.5,0,155.2384231,-2.181914533,-52.73367524,3569.988462,15,1714077639,13:40:39,1714077625,1714077639,9,-0.203,0.033,-10.235,-0.452,400,22,0.16,0.05,-9.092959048,0.134374286,0.04835404,0,4.394523333,0.645567273,0.092124099,0,0,2,0/2,100,100,-10.164,-0.3069,-7.020971326,-0.007814304,-3.18182E-07,6.4783E-10,-0.492439168,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.9,0.7,1.07422,2.52197,1.59912,2.28882,1.60156,2.36328,39.9942,14.3772,18,608.425,403.897,28.0017,30.6708,29.9994,30.594,30.586,21.5088,30.1641,56.0533,28,400,21.762,99.7676,102.222
26,1714077735,4070,20240425 13:42:15,13:42:15,15,g5.plaere.2,35.03361018,1714077727,0.004421364,4.421363937,7.513095797,390.7390667,320.6192084,32.5861568,39.71279375,0.214453942,2.955728758,0.206169513,0.129573604,321.5125047,31.52517964,31.94709333,4.760802639,59.70041338,2.660788607,4.456901478,2.100014032,-194.9821496,-184.8451286,-14.09448812,-72.40926163,0,0,1,0,53001.57612,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-360-20240424-13_40_59,10172.8,153.2958846,193.2330761,0.206678858,0.5,1681.21182,7.513095797,173.7354696,0.005063666,13.24657753,165.5093533,-,0,165.5093533,0.143472968,1.440542156,0.989285106,-0.064445705,1.319438778,1.555313772,-0.555313772,2000.018,1681.21182,0.840598345,0.160754806,6,0.5,0: Broadleaf,2,1714077727,390.7390667,399.9797333,26.17982667,21.87422667,400.9024,26.48188667,600.0018667,101.5148667,0.1202068,30.78709333,999.9,31.94709333,0,0,9998.535333,0,429.5978667,2000.018,0.9800062,0.019994193,0,153.3791333,4.9992,3525.760667,16265.46,43.687,50.87913333,48.75,44,44.687,1955.128,39.89,0,54.5,0,153.2958846,-2.167965811,-43.40888891,3525.325769,15,1714077639,13:40:39,1714077625,1714077639,9,-0.203,0.033,-10.235,-0.452,400,22,0.16,0.05,-9.223918571,-0.116703117,0.055905949,0,4.296912381,0.18283013,0.025553465,0,0,2,0/2,100,100,-10.163,-0.3021,-7.020971326,-0.007814304,-3.18182E-07,6.4783E-10,-0.492439168,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.8,1.6,1.07544,2.52563,1.59912,2.2876,1.60156,2.34253,40.0194,14.3597,18,608.689,404.505,28.0003,30.6194,29.9996,30.5392,30.5377,21.5247,27.2417,54.5386,28,400,21.9953,99.7856,102.234
27,1714077788,4123,20240425 13:43:08,13:43:08,15,g5.plaere.2,35.70233875,1714077780,0.00435976,4.359760221,7.557430444,390.7234667,319.5578166,32.47797574,39.71083356,0.211678862,2.955551811,0.203602645,0.127951596,321.5100575,31.60379511,32.0211,4.780788942,60.01506144,2.684415793,4.472903516,2.096373149,-192.2654257,-186.6239788,-14.24057391,-71.61992088,0,0,1,0,52985.51189,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-361-20240424-13_41_52,10168.2,151.9168462,192.4247131,0.21051281,0.5,1681.19894,7.557430444,176.9569562,0.005090076,13.30642642,164.9159508,-,0,164.9159508,0.142958573,1.472544149,0.989370624,-0.065281435,1.319855466,1.598545683,-0.598545683,2000.002667,1681.19894,0.840598349,0.160754814,6,0.5,0: Broadleaf,2,1714077780,390.7234667,399.9847333,26.41254667,22.16776667,400.8866,26.70563333,599.9756667,101.5143333,0.1197812,30.84986667,999.9,32.0211,0,0,9997.584,0,433.921,2000.002667,0.980006333,0.019994,0,151.9080667,4.9992,3494.658,16265.35333,43.687,50.9874,48.75,44,44.687,1955.112667,39.89,0,52.0999999,0,151.9168462,-0.48622222,-19.11076922,3494.411154,15,1714077639,13:40:39,1714077625,1714077639,9,-0.203,0.033,-10.235,-0.452,400,22,0.16,0.05,-9.275186667,0.148068312,0.036409216,0,4.228597619,0.219783117,0.02993028,0,0,2,0/2,100,100,-10.164,-0.2927,-7.020971326,-0.007814304,-3.18182E-07,6.4783E-10,-0.492439168,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.7,2.5,1.07666,2.51465,1.59912,2.2876,1.60156,2.55127,39.9942,14.3684,18,608.713,404.941,28.0007,30.571,29.9995,30.4911,30.4895,21.5408,24.8615,53.7883,28,400,22.2702,99.7964,102.25
28,1714078012,4346.9,20240425 13:46:52,13:46:52,15,f4.plaere.2,55.19244911,1714078004,0.001954579,1.9545786,5.03919654,394.1848125,292.6450819,29.73774378,40.05591648,0.091302282,2.955195142,0.08976365,0.056238361,321.5118872,32.08047577,32.11021875,4.804953332,60.26325812,2.673691907,4.436686614,2.131261426,-86.19691624,-223.4798337,-17.05051805,-5.215380833,0,0,1,0,52999.76375,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-362-20240424-13_45_36,10209.5,95.82254615,147.7052889,0.351258531,0.5,1681.203075,5.03919654,295.268461,0.003592187,17.63785664,130.9398329,-,0,130.9398329,0.113506131,3.094621638,0.993605779,-0.077992104,1.342907024,4.22874633,-3.22874633,2000.006875,1681.203075,0.840598648,0.160755391,6,0.5,0: Broadleaf,2,1714078004,394.1848125,399.9939375,26.3114375,24.4084625,404.2855,26.63465,600.0554375,101.5005625,0.116534875,30.7075125,999.9,32.11021875,0,0,9996.916875,0,451.5956875,2000.006875,0.979995875,0.020004388,0,95.818475,4.9992,2308.884375,16265.3375,43.687,51.003875,48.75,44,44.687,1955.096875,39.91,0,222,0,95.82254615,-2.811576075,-62.79316229,2307.988462,15,1714077990,13:46:30,1714077990,1714077978,10,0.089,-0.027,-10.146,-0.401,400,24,0.55,0.07,-4.85800605,-14.51371448,1.845758001,0,1.592557777,4.929296424,0.602718417,0,0,2,0/2,100,100,-10.101,-0.3219,-6.932156195,-0.007814304,-3.18182E-07,6.4783E-10,-0.519728553,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.4,0.6,1.07788,2.51221,1.59912,2.28882,1.60156,2.53662,40.07,14.3334,18,604.609,408.958,28.0019,30.279,30.0003,30.2255,30.2305,21.5827,22.1305,56.4211,28,400,24.1158,99.8432,102.285
29,1714078068,4402.9,20240425 13:47:48,13:47:48,15,f4.plaere.2,52.80440163,1714078060,0.002020235,2.020234817,4.992046122,394.2123125,296.4548857,30.1246914,40.05845353,0.094538447,2.956369437,0.092890514,0.058202239,321.5147799,32.03699789,32.0706125,4.794201074,60.16401311,2.665306611,4.430067865,2.128894463,-89.09235544,-221.4199444,-16.88117683,-5.878696761,0,0,1,0,53038.18647,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-363-20240424-13_46_32,10190.3,93.656336,146.0269787,0.358636761,0.5,1681.2183,4.992046122,301.473343,0.00356411,17.85206436,129.6191937,-,0,129.6191937,0.112361326,3.191816741,0.993745343,-0.078527417,1.343772144,4.417434315,-3.417434315,2000.025,1681.2183,0.840598643,0.160755381,6,0.5,0: Broadleaf,2,1714078060,394.2123125,400.000625,26.2290875,24.2618875,404.313,26.555475,600.014,101.4995625,0.116881875,30.6813875,999.9,32.0706125,0,0,10003.67875,0,453.603125,2000.025,0.979996813,0.0200034,0,93.705725,4.9992,2266.3025,16265.4875,43.687,51.117125,48.75,44,44.687,1955.115,39.91,0,54.29999995,0,93.656336,-1.392976927,-33.63076928,2265.5716,15,1714077990,13:46:30,1714077990,1714077978,10,0.089,-0.027,-10.146,-0.401,400,24,0.55,0.07,-5.7851,0.307999398,0.058460287,0,1.9532965,0.241841053,0.02392481,0,0,2,0/2,100,100,-10.1,-0.3259,-6.932156195,-0.007814304,-3.18182E-07,6.4783E-10,-0.519728553,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.3,1.5,1.07788,2.51709,1.59912,2.28882,1.60156,2.52319,40.07,14.3159,18,605.782,408.955,28.0015,30.3274,30.0007,30.2441,30.252,21.5812,21.5972,56.0464,28,400,24.1388,99.8325,102.275
