SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1715364817,2944.1,20240510 11:13:37,11:13:37,15,d2.madgra.2,40.32601974,1715364809,0.002873849,2.873848554,7.981246359,391.0804375,316.0287654,32.02730625,39.63326859,0.197918029,2.949394009,0.190824622,0.119881523,321.5146518,35.79496226,34.0426875,5.355745574,70.34741785,3.899194469,5.542768431,1.456551105,-126.7367212,98.09484991,7.718440713,300.5912212,0,0,1,0,52148.11584,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-977-20240510-11_12_18,10195.7,189.06284,270.4129572,0.30083661,0.5,1681.221074,7.981246359,252.8864239,0.005342097,9.180392345,219.0626186,-,0,219.0626186,0.189895999,1.584217736,0.979734242,-0.149947764,1.279654801,1.835595432,-0.835595432,2000.02875,1681.221074,0.840598453,0.160755015,6,0.5,0: Broadleaf,2,1715364809,391.0804375,400.1856875,38.47521875,35.7119125,399.7731875,38.99213125,599.9935625,101.22425,0.11875975,34.65960625,999.9,34.0426875,0,0,9991.24375,0,409.27075,2000.02875,0.980002688,0.019997775,0,189.040875,4.9992,4160.754375,16265.525,50.77325,51.808125,51.0155,50.917625,51.675375,1955.13375,39.8975,0,247.0999999,0,189.06284,0.243461525,-46.05153854,4160.0176,15,1715364771,11:12:51,1715364771,1715364767,12,-0.055,0.002,-8.723,-0.517,394,36,0.25,0.02,-9.235082,-0.188175338,0.692853768,0,2.7523765,0.265384511,0.026743547,0,0,2,0/2,100,100,-8.698,-0.5169,-5.559332546,-0.007814304,-3.18182E-07,6.4783E-10,-0.51692,0,0,0,5,2011,2,27,0.8,0.8,1.0376,2.51953,1.59912,2.2998,1.60156,2.4646,41.6912,14.85,18,608.545,407.659,32.002,36.5329,30.0014,36.4254,36.4202,20.7816,3.22987,100,32,400,35.1242,97.7543,100.962
14,1715365064,3191,20240510 11:17:44,11:17:44,15,d1.madgra.1,86.58044667,1715365056,0.002086271,2.086270843,9.51398617,389.3149375,238.6289761,24.18510454,39.45716323,0.109886083,2.950366353,0.107662011,0.067484831,321.510204,36.00030256,35.69075625,5.868056737,72.14743946,3.999703696,5.543791611,1.86835304,-92.00454418,-163.4859995,-12.96334397,53.05631631,0,0,1,0,52175.27895,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-978-20240510-11_16_25,10182.3,134.3289231,290.2177117,0.537144297,0.5,1681.19321,9.51398617,451.5216722,0.006253883,8.485671925,231.8815717,-,0,231.8815717,0.2010082,2.672250663,0.976860182,-0.298227156,1.269446028,4.612898471,-3.612898471,1999.995,1681.19321,0.840598707,0.160755504,6,0.5,0: Broadleaf,2,1715365056,389.3149375,399.64175,39.464175,37.46011875,397.999,39.992775,599.9645625,101.228625,0.12161725,34.66293125,999.9,35.69075625,0,0,9996.33125,0,382.65925,1999.995,0.979994125,0.020005763,0,134.3530625,4.9992,3039.926875,16265.225,49.75775,50.937,50.152125,49.937,50.75,1955.085625,39.91375,0,245.3000002,0,134.3289231,-2.597470085,-51.70393162,3039.013846,15,1715365030,11:17:10,1715365030,1715365016,13,-0.005,-0.012,-8.746,-0.529,397,37,0.33,0.09,-10.48336,2.876544361,0.285168186,0,1.997403,0.160227068,0.017814757,0,0,2,0/2,100,100,-8.686,-0.5286,-5.564451827,-0.007814304,-3.18182E-07,6.4783E-10,-0.5286,0,0,0,5,2011,2,27,0.6,0.8,1.06445,2.52808,1.59912,2.2998,1.60156,2.42432,42.4837,14.7975,18,609.579,404.103,32.0024,37.015,30.0015,36.8759,36.8598,21.3033,0,100,32,400,39.6189,97.639,100.856
15,1715365327,3454,20240510 11:22:07,11:22:07,15,i1.madgra.1,71.71831804,1715365319,0.001052259,1.052258945,4.836028548,394.084125,269.7122878,27.33344403,39.93765526,0.06743087,2.952152492,0.06658676,0.041691685,321.5154955,35.51673235,34.46400625,5.482865869,74.39711577,3.95594053,5.317330502,1.526925339,-46.4046195,-87.59174958,-6.874676006,180.6444504,0,0,1,0,52353.42423,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-979-20240510-11_20_48,10207.3,150.2014,197.6029936,0.239882973,0.5,1681.224824,4.836028548,201.6486045,0.003471296,12.93151971,168.7049248,-,0,168.7049248,0.146243072,1.640303162,0.988817424,-0.07703405,1.317186213,1.842374449,-0.842374449,2000.033125,1681.224824,0.84059849,0.160755085,6,0.5,0: Broadleaf,2,1715365319,394.084125,399.332125,39.035175,38.0245125,402.8065,39.56284375,600.3095,101.22225,0.120719,33.91365625,999.9,34.46400625,0,0,10007.10563,0,441.4949375,2000.033125,0.980001875,0.01999855,0,150.15125,4.9992,3310.051875,16265.56875,48.4803125,49.8316875,49.069875,48.28875,49.5076875,1955.135,39.9,0,261.5,0,150.2014,0.256076934,8.613846426,3310.3632,15,1715365305,11:21:45,1715365296,1715365305,14,-0.001,0.001,-8.758,-0.528,399,38,0.31,0.24,-4.485217745,-11.75200867,1.632686848,0,0.873630329,2.214766962,0.297331785,0,0,2,0/2,100,100,-8.728,-0.5277,-5.565282999,-0.007814304,-3.18182E-07,6.4783E-10,-0.527672727,0,0,0,5,2011,2,27,0.5,0.4,1.06567,2.52563,1.59912,2.2998,1.60278,2.43286,42.8583,14.7625,18,608.783,403.418,31.9986,36.8931,29.9996,36.8937,36.8905,21.3235,0,100,32,400,38.9588,97.6734,100.876
16,1715365584,3711,20240510 11:26:24,11:26:24,15,c8.madgra.2,75.85871002,1715365576,0.000834857,0.834857385,3.599585276,397.2156875,265.5149313,26.90877579,40.25607082,0.04745118,2.952168364,0.047031504,0.029432087,321.503605,36.11028619,34.98323125,5.643128403,71.70901988,3.92909818,5.479224492,1.714030223,-36.81721068,-84.54037929,-6.669477261,193.4765377,0,0,1,0,52262.21614,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-980-20240510-11_25_05,10217.7,94.93680385,138.3253851,0.313670417,0.5,1681.165179,3.599585276,263.6658915,0.002735951,18.90169771,123.5149154,-,0,123.5149154,0.107069789,2.929588463,0.994367347,-0.064316482,1.347742091,3.811460428,-2.811460428,1999.9625,1681.165179,0.840598351,0.160754817,6,0.5,0: Broadleaf,2,1715365576,397.2156875,401.1469375,38.76929375,37.96679375,406.044625,39.280175,599.9929375,101.2231875,0.12243425,34.45205625,999.9,34.98323125,0,0,10007.10313,0,250.12425,1999.9625,0.980005875,0.019993956,0,94.894075,4.9992,2168.863125,16265.025,48.125,49.312,48.312,48.542625,49.25,1955.078125,39.889375,0,255.1000001,0,94.93680385,1.043497433,11.20581194,2169.255769,15,1715365550,11:25:50,1715365540,1715365550,15,-0.082,0.017,-8.847,-0.511,399,38,0.68,0.26,-4.03746,4.03735218,1.373037698,0,0.79875985,0.062873368,0.007084423,1,1,2,1/2,100,100,-8.829,-0.5108,-5.646962322,-0.007814304,-3.18182E-07,6.4783E-10,-0.510881818,0,0,0,5,2011,2,27,0.7,0.6,1.02295,2.52563,1.59912,2.29858,1.60278,2.49023,42.751,14.7012,18,610.511,401.578,32.0047,36.8988,30.0017,36.9083,36.9179,20.4789,0,100,32,400,38.5246,97.688,100.887
17,1715365806,3933,20240510 11:30:06,11:30:06,15,h6.madgra.2,76.87327794,1715365798,0.001405711,1.405710706,5.830620531,393.3313125,259.040912,26.24829706,39.8557782,0.075847169,2.950852658,0.074780531,0.046832416,321.5093132,36.22046924,35.6878375,5.867113075,72.97123403,4.055616266,5.557828807,1.811496809,-61.99184214,-155.8002407,-12.35443964,91.36279068,0,0,1,0,52181.01538,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-981-20240510-11_28_48,10182.8,104.4646154,179.6386044,0.418473464,0.5,1681.192275,5.830620531,351.7671774,0.004062962,14.32471269,155.4342292,-,0,155.4342292,0.134739274,3.105801676,0.990681578,-0.118702508,1.326446332,4.621161796,-3.621161796,1999.994375,1681.192275,0.840598502,0.160755109,6,0.5,0: Broadleaf,2,1715365798,393.3313125,399.715,40.02433125,38.67485,402.11675,40.5584125,599.98525,101.2115625,0.11720775,34.70849375,999.9,35.6878375,0,0,10000.77813,0,342.503375,1999.994375,0.979998063,0.020001938,0,104.508375,4.9992,2402.654375,16265.225,48.128875,49.319875,48.3710625,48.625,49.281,1955.094375,39.9,0,220.1000001,0,104.4646154,-2.692786317,-45.47213681,2401.570769,15,1715365780,11:29:40,1715365780,1715365771,16,0.013,-0.023,-8.832,-0.534,399,39,0.89,0.05,-6.264818,-0.580514887,0.372200732,0,1.3345515,0.226066015,0.054039615,0,0,2,0/2,100,100,-8.786,-0.5341,-5.634014059,-0.007814304,-3.18182E-07,6.4783E-10,-0.53409,0,0,0,5,2011,2,27,0.4,0.6,1.03149,2.5293,1.59912,2.2998,1.60278,2.48779,42.6706,14.6661,18,606.646,405.078,32.0031,36.9881,29.9994,36.9195,36.9031,20.6319,0,100,32,400,38.7489,97.6962,100.879
18,1715366070,4197,20240510 11:34:30,11:34:30,15,h5.madgra.2,31.52579888,1715366062,0.00382594,3.825939719,8.331135847,390.2003125,328.934582,33.33362475,39.54218104,0.264264068,2.950985851,0.25178553,0.158437991,321.5080164,35.06817244,33.66169375,5.243006752,69.8942242,3.771639678,5.396210804,1.471367075,-168.7239416,82.09923174,6.429213412,241.31252,0,0,1,0,52275.13079,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-982-20240510-11_33_11,10207.5,226.1804231,312.6161453,0.276491549,0.5,1681.18545,8.331135847,232.4167846,0.005550331,7.806039104,245.9620247,-,0,245.9620247,0.213213942,1.296779876,0.973412244,-0.172760928,1.257900289,1.410195451,-0.410195451,1999.98625,1681.18545,0.840598504,0.160755113,6,0.5,0: Broadleaf,2,1715366062,390.2003125,400.0245625,37.21835625,33.534725,399.0565625,37.7231875,599.985875,101.21925,0.118908313,34.1777375,999.9,33.66169375,0,0,10000.775,0,447.36125,1999.98625,0.979999688,0.020000013,0,226.234,4.9992,4884.19375,16265.19375,47.812,49.253875,48.25,47.9960625,48.875,1955.08625,39.9,0,262.0999999,0,226.1804231,-4.102393164,-92.17299146,4882.628462,15,1715365992,11:33:12,1715365992,1715365987,17,-0.095,0.029,-8.918,-0.505,397,40,0.44,0.06,-9.816587619,-0.431590909,0.185539752,0,3.738280952,-1.173153506,0.120064017,0,0,2,0/2,100,100,-8.856,-0.5048,-5.728396288,-0.007814304,-3.18182E-07,6.4783E-10,-0.50481,0,0,0,5,2011,2,27,1.3,1.4,1.04492,2.53296,1.59912,2.29858,1.60156,2.37671,42.751,14.6224,18,611.64,394.262,31.9994,37.0565,30.0012,37.0374,37.0338,20.9072,25.4273,100,32,400,33.4413,97.6679,100.861
19,1715366375,4502,20240510 11:39:35,11:39:35,15,c5.madgra.2,89.55173815,1715366367,0.000504148,0.504147595,2.481634289,398.145375,244.823545,24.80811058,40.34429976,0.027711738,2.952592061,0.027568052,0.01724288,321.5092329,36.41237329,35.78054375,5.897150452,74.57481718,4.135817549,5.545863477,1.761332903,-22.23290896,-176.8302364,-14.01747266,108.4286149,0,0,1,0,52237.0356,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-983-20240510-11_38_16,10215.4,46.084064,62.80149613,0.266194807,0.5,1681.1946,2.481634289,223.7626359,0.002070929,42.83510218,59.55910294,-,0,59.55910294,0.051629235,5.155892939,0.998796149,-0.022285913,1.386672452,6.663482594,-5.663482594,1999.9975,1681.1946,0.840598351,0.160754817,6,0.5,0: Broadleaf,2,1715366367,398.145375,400.8276875,40.8151,40.3315375,407.0945,41.32478125,600.01025,101.2106875,0.119887438,34.6696625,999.9,35.78054375,0,0,10010.74688,0,310.7456875,1999.9975,0.9800035,0.0199964,0,46.09029375,4.9992,1228.219375,16265.3,48.5699375,49.91375,48.761625,49.472375,49.656,1955.1075,39.89,0,303.5,0,46.084064,-1.260076936,-24.7007692,1227.5444,15,1715366289,11:38:09,1715366289,1715366282,18,-0.031,-0.005,-8.966,-0.51,400,40,0.7,0.23,-2.747354286,-0.45691013,0.532521793,0,0.484857333,0.008644831,0.006641885,1,1,2,1/2,100,100,-8.951,-0.5097,-5.759005214,-0.007814304,-3.18182E-07,6.4783E-10,-0.50968,0,0,0,5,2011,2,27,1.4,1.6,1.04126,2.53174,1.59912,2.29858,1.60156,2.5708,43.0469,14.5698,18,607.334,403.455,32.003,37.0112,30,36.9601,36.9581,20.8304,0,100,32,400,43.3044,97.6608,100.856
20,1715366396,4523,20240510 11:39:56,11:39:56,15,,102.3131337,1715366392,0.000527596,0.527595709,2.912281718,397.9665714,224.2455462,22.72198032,40.3244959,0.028464398,2.948992745,0.02831264,0.017708967,321.5114559,36.47462742,35.88477143,5.931080294,74.31655585,4.136705708,5.566331298,1.794374586,-23.26697079,-182.6318719,-14.50708433,101.1055289,0,0,1,0,52123.39351,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-984-20240510-11_38_38,10210.8,45.382176,61.90111221,0.266860087,0.5,1681.2063,2.912281718,224.3234301,0.002327068,43.47270658,58.74869137,-,0,58.74869137,0.050926724,5.240079631,0.998829906,-0.021994899,1.387136574,6.783452187,-5.783452187,2000.011429,1681.2063,0.840598347,0.160754809,6,0.5,0: Broadleaf,2,1715366392,397.9665714,401.089,40.82557143,40.31948571,406.9142857,41.33525714,599.9651429,101.2065714,0.119768,34.73604286,999.9,35.88477143,0,0,9990.711429,0,261.3302857,2000.011429,0.980006714,0.019993143,0,45.4108,4.9992,1215.41,16265.42857,48.78542857,50.02657143,48.875,49.705,49.875,1955.121429,39.89,0,19.29999995,0,45.382176,1.304784626,55.71538461,1211.6404,15,1715366289,11:38:09,1715366289,1715366282,18,-0.031,-0.005,-8.966,-0.51,400,40,0.7,0.23,-2.36687225,-8.687876977,1.035794036,0,0.5027567,0.069045925,0.010468559,1,1,2,1/2,100,100,-8.951,-0.5097,-5.759005214,-0.007814304,-3.18182E-07,6.4783E-10,-0.50968,0,0,0,5,2011,2,27,1.8,1.9,1.0376,2.5293,1.59912,2.29858,1.60156,2.59888,43.0739,14.5611,18,607.1,403.177,32.0029,37.0112,30,36.9523,36.9489,20.7793,0,100,32,400,40.7929,97.6627,100.858
21,1715366415,4542,20240510 11:40:15,11:40:15,15,c5.madgra.2,75.07856297,1715366410,0.000550414,0.550413718,2.188868311,397.4522,266.6842288,27.02181111,40.2718913,0.029154371,2.950629562,0.028995277,0.01813627,321.5227717,36.50417882,35.98043,5.962369702,74.13229043,4.134763982,5.577547865,1.827605719,-24.27324498,-192.1777113,-15.26667709,89.80513837,0,0,1,0,52163.72319,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-985-20240510-11_38_57,10217.6,44.85663846,64.1714345,0.300987444,0.5,1681.259549,2.188868311,253.0190071,0.001896714,41.89930592,60.78984915,-,0,60.78984915,0.052696116,5.711757665,0.998743895,-0.025795553,1.385966289,7.740590886,-6.740590886,2000.074,1681.259549,0.840598672,0.160755438,6,0.5,0: Broadleaf,2,1715366410,397.4522,399.86,40.8069,40.27891,406.396,41.31657,599.958,101.2054,0.1197186,34.77233,999.9,35.98043,0,0,10000.12,0,307.1456,2000.074,0.9799945,0.0200053,0,45.10437,4.9992,1208.418,16265.86,48.937,50.0998,48.9748,49.8058,49.9937,1955.163,39.913,0,16.89999986,0,44.85663846,5.253948722,107.9917948,1202.484615,15,1715366289,11:38:09,1715366289,1715366282,18,-0.031,-0.005,-8.966,-0.51,400,40,0.7,0.23,-2.1408575,-2.249598045,0.329198603,0,0.5236727,0.041128511,0.015241717,1,1,2,1/2,100,100,-8.945,-0.5096,-5.759005214,-0.007814304,-3.18182E-07,6.4783E-10,-0.50968,0,0,0,5,2011,2,27,2.1,2.2,1.04126,2.53662,1.59912,2.29858,1.60156,2.43042,43.0739,14.5436,18,606.979,403.325,31.9993,37.0112,29.9998,36.945,36.9409,20.8237,0,100,32,400,40.8121,97.6659,100.86
22,1715366764,4891.1,20240510 11:46:04,11:46:04,15,c4.madgra.2,72.9181582,1715366756,0.000519555,0.519555493,2.131047426,397.5203333,270.752937,27.43553686,40.28094349,0.029225195,2.951530491,0.029065378,0.018180147,321.5092205,36.16953741,35.43261333,5.785104597,74.22207609,4.061788775,5.472480681,1.723315822,-22.91239726,-159.5536045,-12.61633005,126.4268887,0,0,1,0,52247.5618,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-986-20240510-11_44_46,10190.3,62.13287308,79.05400215,0.214045192,0.5,1681.193458,2.131047426,179.9256883,0.001862396,33.82315791,73.98398836,-,0,73.98398836,0.06413355,3.337491724,0.998107445,-0.023057016,1.37829476,3.974079044,-2.974079044,1999.996,1681.193458,0.84059841,0.160754932,6,0.5,0: Broadleaf,2,1715366756,397.5203333,399.8579333,40.08455333,39.58582,406.223,40.61453333,599.9952,101.2104667,0.120056867,34.42990667,999.9,35.43261333,0,0,10004.73667,0,108.08438,1999.996,0.9800028,0.0199974,0,62.15823333,4.9992,1521.099333,16265.28667,49.062,49.979,49.3246,49.3162,50.062,1955.106,39.894,0,347.5,0,62.13287308,-0.248194856,-11.9740171,1520.963846,15,1715366673,11:44:33,1715366654,1715366673,19,0.24,-0.02,-8.724,-0.53,400,40,0.84,0.21,-2.23873619,-1.003614545,0.197483433,0,0.493674857,0.114847948,0.011889903,0,0,2,0/2,100,100,-8.701,-0.5299,-5.519212685,-0.007814304,-3.18182E-07,6.4783E-10,-0.529972727,0,0,0,5,2011,2,27,1.8,1.5,1.0083,2.53906,1.59912,2.29858,1.60156,2.5708,43.3176,14.4998,18,611.473,397.582,32.0012,37.529,30.0027,37.4128,37.3967,20.1633,0,100,32,400,40.8006,97.5115,100.704
23,1715367205,5332.1,20240510 11:53:25,11:53:25,15,h2.madgra.1,51.09452279,1715367197,0.002631778,2.631777826,8.882229668,390.7142667,298.1015824,30.20906863,39.59426852,0.173839175,2.951159707,0.168344133,0.105694321,321.5074915,35.8066389,33.81546,5.288256387,68.29290881,3.774847483,5.527436961,1.513408903,-116.0614021,126.3690869,9.923779307,341.7389556,0,0,1,0,52206.61412,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-987-20240510-11_52_07,10206.6,125.93404,226.5229942,0.444056263,0.5,1681.17994,8.882229668,373.2692405,0.005878151,11.15289428,189.3430165,-,0,189.3430165,0.164133349,2.705460315,0.985496779,-0.171532611,1.302278796,4.067685091,-3.067685091,1999.979333,1681.17994,0.840598656,0.160755407,6,0.5,0: Broadleaf,2,1715367197,390.7142667,400.6244667,37.25000667,34.71634,399.4912,37.90200667,600.0183333,101.2169333,0.121236,34.60972,999.9,33.81546,0,0,10001.99133,0,404.9982,1999.979333,0.9799962,0.020003893,0,125.944,4.9992,2886.900667,16265.12,49.15393333,50.4958,49.312,50.0248,50.312,1955.069333,39.91,0,439.7,0,125.93404,1.426846169,7.211538443,2887.0492,15,1715367166,11:52:46,1715367166,1715367145,21,-0.127,-0.03,-8.768,-0.652,388,34,0.49,0.06,-9.539151,-4.804063759,1.683070655,0,2.568946,-0.850838797,0.085735908,0,0,2,0/2,100,100,-8.785,-0.652,-5.64570172,-0.007814304,-3.18182E-07,6.4783E-10,-0.65203,0,0,0,5,2011,2,27,0.7,1,0.922852,2.53174,1.59912,2.29736,1.60156,2.59399,43.6173,14.421,18,608.923,391.357,32.0007,38.5226,30.0008,38.3257,38.3062,18.4725,18.2808,100,32,400,34.8891,97.3698,100.577
