SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1712085958,1512.9,20240402 12:25:58,12:25:58,15,d5.erocic.1,55.55857915,1712085950,0.002978036,2.97803567,11.83720747,387.0415,287.3119689,29.23061178,39.37691797,0.213058139,2.958172526,0.204885466,0.128761578,241.731938,26.45432002,26.29466875,3.433543692,59.77434678,1.994212419,3.336234566,1.439331273,-131.3313731,-77.51573871,-5.601656412,27.28316982,0,0,1,0,53958.67443,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-233-20240401-12_24_44,10194.2,167.7821538,341.3316484,0.508448295,0.5,1261.182226,11.83720747,320.6229759,0.010178709,7.065205829,263.3963988,-,0,263.3963988,0.228327054,2.226842095,0.968694588,-0.367998077,1.243098285,3.495855638,-2.495855638,1499.965625,1261.182226,0.840807419,0.161158319,6,0.5,0: Broadleaf,2,1712085950,387.0415,400.0315,19.60140625,16.68170625,397.0720625,20.02496875,599.9921875,101.6225,0.115732125,25.80861875,999.9,26.29466875,0,0,10001.80188,0,463.7468125,1499.965625,0.972996375,0.027003638,0,167.7743125,4.9992,2867.4275,12157.34375,43.011625,45.159875,43.937,43.6949375,44.003875,1454.595625,40.37,0,54.70000005,0,167.7821538,0.119794873,-14.88615385,2867.597692,15,1712085821,12:23:41,1712085821,1712085818,4,0.007,0.003,-10.132,-0.49,400,16,0.32,0.1,-12.98756,-0.043154887,0.05213176,1,2.9202185,-0.031623609,0.00559521,1,2,2,2/2,100,100,-10.03,-0.4235,-6.918035828,-0.007814304,-3.18182E-07,6.4783E-10,-0.406281253,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.3,2.3,1.07178,2.47192,1.59912,2.2998,1.60278,2.47437,33.558,15.7957,18,603.338,440.592,23.0024,27.5924,30.0004,27.5294,27.5348,21.4543,32.6914,80.1879,23,400,16.6675,100.495,102.947
13,1712086668,2222.9,20240402 12:37:48,12:37:48,15,f6.erocic.2,46.15161266,1712086660,0.000476638,0.476638049,1.493046885,398.3170667,315.6315147,32.11368392,40.52646133,0.032350915,2.95728525,0.032155586,0.020114692,241.7318444,26.81146795,26.34148,3.443045024,60.22268419,1.975059578,3.279594067,1.467985446,-21.01973797,-130.9754058,-9.456278121,80.28042254,0,0,1,0,53984.90559,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-234-20240401-12_36_34,10280.2,69.584176,87.5947713,0.205612676,0.5,1261.184481,1.493046885,129.6577578,0.00197675,30.42778911,81.41291338,-,0,81.41291338,0.070573367,2.913459923,0.997685995,-0.024830514,1.373892242,3.408724139,-2.408724139,1499.968667,1261.184481,0.840807217,0.161157929,6,0.5,0: Broadleaf,2,1712086660,398.3170667,400.0000667,19.41200667,18.94459333,408.2017333,19.83376667,599.9643333,101.6282,0.1160252,25.51997333,999.9,26.34148,0,0,9996.208667,0,18.12409333,1499.968667,0.9730022,0.026997593,0,69.81854,4.9992,1260.626,12157.40667,43.625,45.437,44.3666,44.937,44.625,1454.608667,40.36,0,708.5,0,69.584176,-17.11922304,-157.7599999,1258.0892,15,1712086643,12:37:23,1712086643,1712086637,5,0.232,0.006,-9.898,-0.433,400,19,0.54,0.23,-1.612040286,-1.057447792,0.199814213,0,0.456681476,0.124563273,0.054888545,0,0,2,0/2,100,100,-9.884,-0.422,-6.685938154,-0.007814304,-3.18182E-07,6.4783E-10,-0.399841806,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.4,0.5,1.07422,2.47437,1.59912,2.29858,1.60278,2.47314,34.0771,15.6643,18,601.088,438.801,22.9989,27.7664,29.9998,27.7201,27.7151,21.4939,26.0898,77.0734,23,400,18.9173,100.46,102.906
14,1712086720,2274.9,20240402 12:38:40,12:38:40,15,f6.erocic.2,53.06083148,1712086712,0.000416757,0.416757368,1.495111226,398.337625,304.6995648,31.0018138,40.52906635,0.028177305,2.959048187,0.028029087,0.017531431,241.7431295,26.8022763,26.3262,3.439941104,60.07204504,1.967312466,3.274921745,1.472628638,-18.37899991,-132.4453018,-9.554822536,81.36400529,0,0,1,0,54041.0712,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-235-20240401-12_37_26,10278.5,60.239768,78.16893062,0.229364307,0.5,1261.243876,1.495111226,144.6421639,0.001978294,34.21744481,73.20824498,-,0,73.20824498,0.063461091,3.614250919,0.998148792,-0.024401152,1.378750988,4.392330441,-3.392330441,1500.039375,1261.243876,0.840807179,0.161157856,6,0.5,0: Broadleaf,2,1712086712,398.337625,399.99875,19.33561875,18.92691875,408.2225,19.7591375,599.9986875,101.62925,0.116263875,25.49596875,999.9,26.3262,0,0,10006.10563,0,18.38159375,1500.039375,0.973005188,0.026994863,0,60.3948,4.9992,1117.7825,12157.98125,43.75,45.375,44.437,45,44.7145625,1454.679375,40.36,0,50.29999995,0,60.239768,-7.44254616,-134.3515388,1114.6928,15,1712086643,12:37:23,1712086643,1712086637,5,0.232,0.006,-9.898,-0.433,400,19,0.54,0.23,-1.6654,0.140917895,0.033378623,0,0.4089641,0.000457805,0.004450333,1,1,2,1/2,100,100,-9.885,-0.4239,-6.685938154,-0.007814304,-3.18182E-07,6.4783E-10,-0.399841806,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.3,1.4,1.07422,2.48169,1.59912,2.29858,1.60278,2.3938,34.1452,15.6468,18,602.082,438.846,23.0007,27.757,30.0001,27.7049,27.7051,21.4928,26.0898,76.3303,23,400,18.924,100.471,102.91
15,1712086770,2324.9,20240402 12:39:30,12:39:30,15,f6.erocic.2,69.95186558,1712086762,0.000332238,0.332238151,1.57354343,398.2453333,277.8997089,28.27487611,40.51942877,0.02249466,2.959066373,0.022400089,0.014008519,241.750358,26.79944943,26.29363333,3.433333791,60.06751986,1.964282154,3.270123618,1.469051637,-14.65170245,-131.1882946,-9.461362816,86.44899819,0,0,1,0,54046.06775,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-236-20240401-12_38_16,10275.6,55.89781154,74.19638543,0.246623522,0.5,1261.281921,1.57354343,155.5308947,0.002040419,36.10302037,69.71263155,-,0,69.71263155,0.060430894,4.081083481,0.998328951,-0.024769991,1.380798719,5.089699601,-4.089699601,1500.084667,1261.281921,0.840807155,0.161157809,6,0.5,0: Broadleaf,2,1712086762,398.2453333,399.9511333,19.30595333,18.98014,408.1296,19.73016,600.0196,101.6289333,0.115959533,25.47128667,999.9,26.29363333,0,0,10006.24,0,18.18516667,1500.084667,0.973005867,0.02699426,0,55.87064,4.9992,1032.452667,12158.35333,43.8708,45.375,44.4916,45.062,44.812,1454.724667,40.36,0,48.10000014,0,55.89781154,-3.316188047,44.59794874,1032.205769,15,1712086643,12:37:23,1712086643,1712086637,5,0.232,0.006,-9.898,-0.433,400,19,0.54,0.23,-1.707408571,0.025824156,0.023862894,1,0.340886857,-0.216602961,0.027765021,0,1,2,1/2,100,100,-9.885,-0.4235,-6.685938154,-0.007814304,-3.18182E-07,6.4783E-10,-0.399841806,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.1,2.2,1.07544,2.49023,1.59912,2.29736,1.60278,2.35474,34.2133,15.6293,18,602.03,439.077,23.0005,27.7747,30.0001,27.7049,27.7055,21.5035,25.7658,75.5838,23,400,19.0172,100.47,102.909
16,1712087042,2596.9,20240402 12:44:02,12:44:02,15,e6.erocic.1,64.61931829,1712087034,0.001460258,1.460257509,7.197029969,392.2519333,279.8367078,28.4690816,39.90560204,0.111375826,2.958657334,0.109097976,0.068387011,241.7361004,26.27479758,25.47419333,3.270688346,60.27644185,1.943886145,3.224951714,1.326802202,-64.39735616,-37.77766967,-2.710535566,136.8505391,0,0,1,0,54076.20839,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-237-20240401-12_42_48,10207.7,223.1043462,307.3879503,0.274192934,0.5,1261.206881,7.197029969,172.9070078,0.006499354,7.95581625,242.7140214,-,0,242.7140214,0.210398387,1.303208349,0.974235506,-0.166717296,1.260595271,1.417753373,-0.417753373,1499.995333,1261.206881,0.840807203,0.161157902,6,0.5,0: Broadleaf,2,1712087034,392.2519333,400.0216667,19.10742,17.67508,402.1222,19.5396,600.0066,101.6188,0.115821667,25.23735333,999.9,25.47419333,0,0,10004.91667,0,352.6017333,1499.995333,0.973003333,0.026996947,0,223.1844667,4.9992,3727.279333,12157.62667,42.9958,44.7748,43.875,43.687,43.958,1454.635333,40.36,0,270.5,0,223.1043462,-12.45938462,-172.6078632,3725.953077,15,1712087019,12:43:39,1712087019,1712087019,6,-0.033,-0.003,-9.931,-0.467,400,17,0.59,0.4,-6.8360216,-14.44232986,2.016017768,0,1.26250488,2.806736373,0.364015958,0,0,2,0/2,100,100,-9.87,-0.4311,-6.71859165,-0.007814304,-3.18182E-07,6.4783E-10,-0.403307663,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.4,0.4,1.073,2.48901,1.59912,2.29614,1.60278,2.40234,34.2133,15.5855,18,601.485,436.469,23.0009,27.3883,29.9998,27.4188,27.4265,21.4747,30.6285,72.2091,23,400,17.4505,100.477,102.991
17,1712087101,2655.9,20240402 12:45:01,12:45:01,15,e6.erocic.1,61.88493817,1712087093,0.001601663,1.601663006,7.46606953,391.854,283.6069979,28.85284428,39.865386,0.120644372,2.957831499,0.117975793,0.073969716,241.7401436,26.32653512,25.55001333,3.285449343,59.83381267,1.939739574,3.241878609,1.345709769,-70.63333858,-35.82593344,-2.57333496,132.7075367,0,0,1,0,54035.99451,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-238-20240401-12_43_47,10205.9,217.57196,308.6123533,0.294999187,0.5,1261.228161,7.46606953,186.0306409,0.00671256,7.920284528,243.4767616,-,0,243.4767616,0.211059574,1.397705784,0.974043704,-0.180519779,1.259964127,1.564121029,-0.564121029,1500.020667,1261.228161,0.840807189,0.161157875,6,0.5,0: Broadleaf,2,1712087093,391.854,399.9478,19.06653333,17.49538667,401.7212,19.49963333,599.9916667,101.6195333,0.115771133,25.32534667,999.9,25.55001333,0,0,10000.15933,0,353.3006,1500.020667,0.973004333,0.02699582,0,217.587,4.9992,3636.945333,12157.83333,43,44.875,43.875,43.687,43.979,1454.660667,40.36,0,57.5,0,217.57196,-1.904692312,-17.89384603,3636.4932,15,1712087019,12:43:39,1712087019,1712087019,6,-0.033,-0.003,-9.931,-0.467,400,17,0.59,0.4,-8.079156,-0.58779609,0.077373061,0,1.555246,0.273715489,0.035759691,0,0,2,0/2,100,100,-9.866,-0.4332,-6.71859165,-0.007814304,-3.18182E-07,6.4783E-10,-0.403307663,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.4,1.4,1.073,2.48779,1.59912,2.29614,1.60278,2.29004,34.2587,15.5768,18,602.292,436.848,23.0011,27.3732,30.0002,27.3956,27.4108,21.4779,30.2956,71.0704,23,400,17.5346,100.479,102.991
18,1712087161,2715.9,20240402 12:46:01,12:46:01,15,e6.erocic.1,62.90673069,1712087153,0.001629749,1.629749352,7.706177756,391.61675,281.6794206,28.65606957,39.84031496,0.122501641,2.958184652,0.119751596,0.075086686,241.7374437,26.35974986,25.58371875,3.292029938,59.79374471,1.943127994,3.249717848,1.348901944,-71.8719464,-34.72812625,-2.495114757,132.6422563,0,0,1,0,54038.97115,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-239-20240401-12_44_47,10219.8,216.1888077,313.0419615,0.309393518,0.5,1261.213951,7.706177756,195.1057107,0.006903014,7.794060665,246.2255421,-,0,246.2255421,0.213442374,1.449541217,0.973344703,-0.193747367,1.257680793,1.650936863,-0.650936863,1500.00375,1261.213951,0.840807198,0.161157893,6,0.5,0: Broadleaf,2,1712087153,391.61675,399.9611875,19.1002875,17.5016625,401.482,19.5326375,599.998375,101.6173125,0.115606125,25.3659625,999.9,25.58371875,0,0,10002.38125,0,357.048,1500.00375,0.973004875,0.026995225,0,216.18725,4.9992,3618.44,12157.70625,43,45.042625,43.875,43.7460625,44,1454.64375,40.36,0,58.5,0,216.1888077,0.504170932,-1.949401701,3618.579231,15,1712087019,12:43:39,1712087019,1712087019,6,-0.033,-0.003,-9.931,-0.467,400,17,0.59,0.4,-8.352585238,0.028888052,0.062017335,1,1.594221429,0.035005714,0.016239108,1,2,2,2/2,100,100,-9.865,-0.4321,-6.71859165,-0.007814304,-3.18182E-07,6.4783E-10,-0.403307663,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.4,2.4,1.07422,2.48779,1.59912,2.29614,1.60278,2.30103,34.3269,15.568,18,602.642,435.98,23.0014,27.3982,30.0003,27.4026,27.4177,21.4875,29.458,69.5631,23,400,17.5298,100.476,102.983
19,1712087802,3357,20240402 12:56:42,12:56:42,15,h3.erocic.1,36.82173097,1712087794,0.004036706,4.036705857,11.28216456,387.192,317.5935948,32.31275847,39.39387248,0.306399625,2.959088939,0.289802064,0.182542554,241.732223,26.59283068,26.3047,3.435577816,60.16175432,2.056639352,3.418516257,1.378938464,-178.0187283,-13.44841296,-0.973601762,49.29148001,0,0,1,0,53911.39328,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-240-20240401-12_55_29,10232.7,139.67964,233.1976653,0.401024707,0.5,1261.189221,11.28216456,252.8840185,0.009738558,10.80504958,193.9839842,-,0,193.9839842,0.168156405,2.384831585,0.984675727,-0.161310749,1.298838198,3.31200118,-2.31200118,1499.974667,1261.189221,0.840807014,0.161157537,6,0.5,0: Broadleaf,2,1712087794,387.192,400.0366667,20.21416667,16.25920667,396.8383333,20.62218,600.0223333,101.6276,0.114875267,26.2204,999.9,26.3047,0,0,10006.49933,0,456.1151333,1499.974667,0.973007667,0.026992287,0,139.6260667,4.9992,2470.892,12157.48667,43.4496,46.03306667,44.3624,44.6954,44.55373333,1454.624667,40.35,0,639.7,0,139.67964,-0.761230764,-9.341538437,2470.7164,15,1712087763,12:56:03,1712087755,1712087763,7,0.183,-0.002,-9.747,-0.493,400,16,0.46,0.13,-12.84287,0.142935338,0.067440174,0,3.958867,-0.051749774,0.013998247,1,1,2,1/2,100,100,-9.646,-0.4096,-6.535620028,-0.007814304,-3.18182E-07,6.4783E-10,-0.405802004,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.8,0.7,1.07056,2.48901,1.59912,2.29614,1.60278,2.47314,35.1516,15.4542,18,601.926,428.68,23.0029,27.7087,30.0005,27.5876,27.5839,21.4219,39.7835,60.4916,23,400,16.1992,100.411,102.945
20,1712087859,3414,20240402 12:57:39,12:57:39,15,h3.erocic.1,39.26617866,1712087851,0.00391448,3.914479763,11.5567755,386.9398667,313.3516647,31.8816523,39.36881044,0.294318823,2.960713145,0.278977029,0.175672372,241.737105,26.73800914,26.41209333,3.45742093,60.10503301,2.068564081,3.441582139,1.388856849,-172.6285576,-12.42040608,-0.89968272,55.78845868,0,0,1,0,53938.51667,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-241-20240401-12_56_26,10230.2,139.9483846,233.6926566,0.401143422,0.5,1261.209421,11.5567755,252.9629315,0.009956138,10.78004495,194.326378,-,0,194.326378,0.168453212,2.381334364,0.984614035,-0.161839187,1.298583045,3.306619674,-2.306619674,1499.998,1261.209421,0.840807402,0.161158285,6,0.5,0: Broadleaf,2,1712087851,386.9398667,400.0104667,20.33106667,16.49642,396.5842,20.7361,600.0387333,101.6286667,0.115335,26.33428,999.9,26.41209333,0,0,10015.614,0,454.0316667,1499.998,0.972996267,0.02700394,0,139.9567333,4.9992,2471.975333,12157.61333,43.708,46.26653333,44.5662,44.92046667,44.80373333,1454.628,40.37,0,55.29999995,0,139.9483846,0.951589745,8.01572647,2472.257692,15,1712087763,12:56:03,1712087755,1712087763,7,0.183,-0.002,-9.747,-0.493,400,16,0.46,0.13,-13.0511619,-0.427309091,0.064495112,0,3.823723333,0.193154805,0.020023194,0,0,2,0/2,100,100,-9.644,-0.4047,-6.535620028,-0.007814304,-3.18182E-07,6.4783E-10,-0.405802004,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.7,1.6,1.07178,2.49634,1.59912,2.29492,1.60278,2.31567,35.244,15.4279,18,602.744,428.056,23.0029,27.7877,30.0006,27.6418,27.6385,21.4314,38.2652,57.8105,23,400,16.4642,100.403,102.937
21,1712087923,3478,20240402 12:58:43,12:58:43,15,h3.erocic.1,38.84999556,1712087915,0.00400508,4.005080071,11.52118915,386.9360667,313.8905603,31.93629164,39.36818953,0.296555739,2.95778292,0.280971924,0.176939324,241.73759,26.81552271,26.50639333,3.476700837,59.67307151,2.06591526,3.462056181,1.410785576,-176.6240311,-11.41520935,-0.828497832,52.86985172,0,0,1,0,53834.55052,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-242-20240401-12_57_30,10235,139.8978,235.7265318,0.406525015,0.5,1261.214721,11.52118915,256.3576664,0.009927881,10.67840539,195.730683,-,0,195.730683,0.169670544,2.395966948,0.984359388,-0.16602072,1.297534641,3.352191723,-2.352191723,1500.004667,1261.214721,0.840807198,0.161157892,6,0.5,0: Broadleaf,2,1712087915,386.9360667,400.0074,20.30515333,16.38126667,396.5802,20.71085333,599.9800667,101.6284,0.1149962,26.43480667,999.9,26.50639333,0,0,9999.011333,0,453.4594,1500.004667,0.973000333,0.02699954,0,139.9426,4.9992,2474.023333,12157.68667,43.9958,46.583,44.854,45.1954,45.0662,1454.644667,40.36,0,62.29999995,0,139.8978,0.823769227,-4.101538457,2473.6224,15,1712087763,12:56:03,1712087755,1712087763,7,0.183,-0.002,-9.747,-0.493,400,16,0.46,0.13,-13.07659,0.106637594,0.090411177,0,3.9252465,-0.023838947,0.008850929,1,1,2,1/2,100,100,-9.644,-0.4056,-6.535620028,-0.007814304,-3.18182E-07,6.4783E-10,-0.405802004,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.8,2.7,1.07056,2.48657,1.59912,2.2937,1.60278,2.52075,35.3827,15.4279,18,602.421,426.995,23,27.8871,30.0005,27.7142,27.7085,21.4312,37.6666,54.7757,23,400,16.4518,100.388,102.927
22,1712088237,3792,20240402 13:03:57,13:03:57,15,e6.erocic.2,65.72855899,1712088229,0.000982349,0.982348706,5.00831289,394.6173125,281.1094011,28.60309379,40.15260946,0.076196907,2.957615658,0.075122909,0.047047051,241.7379925,26.85737857,25.60088125,3.29538514,60.33078731,1.999455118,3.314153862,1.295930023,-43.32157794,15.26344461,1.098763222,214.7786224,0,0,1,0,53962.71721,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-243-20240401-13_02_44,10218.5,286.048,363.0719214,0.212145079,0.5,1261.211395,5.00831289,133.7798955,0.004763922,6.582271824,276.1567081,-,0,276.1567081,0.239388419,0.886196081,0.964907602,-0.171215985,1.231891808,0.855552189,0.144447811,1500,1261.211395,0.840807597,0.161158662,6,0.5,0: Broadleaf,2,1712088229,394.6173125,400.013375,19.65051875,18.68745625,404.337625,20.06765625,599.989125,101.6298125,0.120942438,25.69660625,999.9,25.60088125,0,0,9997.92375,0,36.43954375,1500,0.972992938,0.027007194,0,286.4104375,4.9992,4761.90375,12157.625,43.875,46.125,44.937,44.75775,44.875,1454.626875,40.38,0,312.5,0,286.048,-15.96054702,-736.5008558,4752.946538,15,1712088201,13:03:21,1712088198,1712088201,8,-0.016,0.005,-9.762,-0.436,400,19,0.77,0.29,-5.386295714,-0.131341558,0.046952221,0,0.962852857,-0.098044909,0.01753534,1,1,2,1/2,100,100,-9.721,-0.4185,-6.551388119,-0.007814304,-3.18182E-07,6.4783E-10,-0.400936193,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.7,0.6,1.073,2.49268,1.59912,2.29248,1.60278,2.31201,36.2459,15.3754,18,604.347,424.548,22.9986,27.9524,30.0002,27.8681,27.8729,21.4699,27.8726,50.8154,23,400,18.6791,100.372,102.887
23,1712088290,3845,20240402 13:04:50,13:04:50,15,e6.erocic.2,71.4196153,1712088282,0.000923202,0.923202064,5.093828467,394.5708125,272.0081011,27.67660403,40.14726067,0.071322541,2.957646926,0.070380651,0.044071495,241.735349,26.7420271,25.54374375,3.284226548,60.33376325,1.984107938,3.288553259,1.30011861,-40.713211,3.535862759,0.254291937,204.8122927,0,0,1,0,53987.2249,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-244-20240401-13_03_37,10203.3,270.2331538,334.6871364,0.192579802,0.5,1261.202926,5.093828467,121.441105,0.004831759,7.225323595,259.4220657,-,0,259.4220657,0.224881875,0.856359822,0.969815346,-0.134770801,1.246523337,0.822099846,0.177900154,1499.990625,1261.202926,0.840807205,0.161157907,6,0.5,0: Broadleaf,2,1712088282,394.5708125,400.0290625,19.4999875,18.5947625,404.2905625,19.9207375,599.9831875,101.628375,0.12081525,25.56591875,999.9,25.54374375,0,0,9998.2425,0,16.07491875,1499.990625,0.973003,0.0269973,0,270.23775,4.9992,4404.026875,12157.5625,43.875,46.011625,44.886625,44.64825,44.819875,1454.630625,40.36,0,51.0999999,0,270.2331538,-5.614495733,-75.32581199,4403.727692,15,1712088201,13:03:21,1712088198,1712088201,8,-0.016,0.005,-9.762,-0.436,400,19,0.77,0.29,-5.437751429,-0.285360779,0.046494027,0,0.90442919,0.013931299,0.006394471,1,1,2,1/2,100,100,-9.72,-0.421,-6.551388119,-0.007814304,-3.18182E-07,6.4783E-10,-0.400936193,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.5,1.5,1.073,2.49512,1.59912,2.29248,1.60278,2.31323,36.4107,15.3754,18,604.704,424.398,22.9976,27.9797,30.0002,27.9081,27.9133,21.4632,27.8726,49.3111,23,400,18.6001,100.361,102.879
24,1712088337,3892,20240402 13:05:37,13:05:37,15,e6.erocic.2,69.47829593,1712088329,0.000979847,0.979846572,5.28442,394.361375,274.8552954,27.96665891,40.12646016,0.076058572,2.955889656,0.074987825,0.046962337,241.733354,26.68053181,25.48855,3.273478915,60.32550165,1.978243055,3.279281565,1.295235861,-43.21123381,4.751854071,0.341770199,203.6157445,0,0,1,0,53944.22758,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-245-20240401-13_04_24,10211.6,265.71928,332.0735147,0.199817907,0.5,1261.192426,5.28442,126.0044155,0.004982919,7.290061923,257.8490181,-,0,257.8490181,0.223518267,0.893966787,0.97025143,-0.137990042,1.247870582,0.867488646,0.132511354,1499.978125,1261.192426,0.840807212,0.16115792,6,0.5,0: Broadleaf,2,1712088329,394.361375,400.0325625,19.4421,18.48124375,404.0795625,19.86421875,599.9625625,101.6291875,0.121294938,25.51836875,999.9,25.48855,0,0,9988.2,0,20.52358125,1499.978125,0.973003313,0.026996956,0,265.8925,4.9992,4343.145,12157.46875,43.835625,45.8199375,44.819875,44.527125,44.781,1454.618125,40.36,0,45.5,0,265.71928,-5.203999993,-83.69769233,4333.5872,15,1712088201,13:03:21,1712088198,1712088201,8,-0.016,0.005,-9.762,-0.436,400,19,0.77,0.29,-5.6435415,-0.390262105,0.049475184,0,0.95082875,0.312288135,0.035691053,0,0,2,0/2,100,100,-9.717,-0.4234,-6.551388119,-0.007814304,-3.18182E-07,6.4783E-10,-0.400936193,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.3,2.3,1.07178,2.48535,1.59912,2.29248,1.60156,2.5061,36.5759,15.3841,18,604.819,423.679,22.9985,27.9917,30.0002,27.933,27.9385,21.4605,28.1529,48.5681,23,400,18.4785,100.353,102.876
25,1712088611,4166,20240402 13:10:11,13:10:11,15,j4.erocic.2,61.17584379,1712088603,0.005219291,5.21929106,25.89475447,372.2215625,261.0471641,26.56241357,37.87477683,0.423283977,2.960214119,0.392305655,0.247785118,241.7366428,25.87933327,25.853975,3.345211999,60.75217664,2.027208979,3.336849955,1.31800302,-230.1707358,-6.741724992,-0.485785045,4.338397024,0,0,1,0,54018.37294,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-246-20240401-13_08_58,10188.6,490.82012,1044.849325,0.530247943,0.5,1261.209749,25.89475447,334.3769374,0.021324569,1.634743531,548.2657668,-,0,548.2657668,0.475268105,1.115681733,0.774755695,2.388949427,0.880455447,1.24626126,-0.24626126,1499.99875,1261.209749,0.8408072,0.161157896,6,0.5,0: Broadleaf,2,1712088603,372.2215625,400.0585625,19.92278125,14.8075625,381.739625,20.3490375,600.0105,101.6371875,0.116124625,25.81173125,999.9,25.853975,0,0,10011.94125,0,132.7759375,1499.99875,0.973005938,0.026993988,0,491.031375,4.9992,7871.906875,12157.65625,43.437,45.375,44.312,44.167625,44.402125,1454.640625,40.36,0,272.5,0,490.82012,-8.413307702,-99.68461554,7869.2768,15,1712088583,13:09:43,1712088571,1712088583,9,0.027,-0.016,-9.735,-0.53,400,14,0.14,0.03,-27.76706,-0.638021053,0.245188965,0,4.9002865,3.960935188,0.404937446,0,0,2,0/2,100,100,-9.518,-0.4297,-6.524628705,-0.007814304,-3.18182E-07,6.4783E-10,-0.417055628,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.7,0.5,1.06934,2.4939,1.59912,2.29126,1.60278,2.46216,36.8842,15.3316,18,604.37,418.473,23.0048,27.8501,30.0001,27.8481,27.8524,21.4015,39.2246,40.503,23,400,14.5845,100.384,102.91
26,1712088661,4216,20240402 13:11:01,13:11:01,15,j4.erocic.2,63.48025045,1712088653,0.005256272,5.256272158,26.13619625,371.8634,256.7648776,26.12659067,37.83820796,0.411721694,2.959818458,0.382346091,0.241430701,241.7346702,25.97704121,25.99293333,3.372847723,59.88519619,2.011013954,3.35811533,1.36183377,-231.8016022,-11.80071363,-0.851483124,-2.719128699,0,0,1,0,53987.38456,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-247-20240401-13_09_48,10184.7,488.0043077,1060.236151,0.53972112,0.5,1261.202101,26.13619625,340.3487053,0.021516136,1.596506446,552.472984,-,0,552.472984,0.478915161,1.126966036,0.769244399,2.313916273,0.872523987,1.275845886,-0.275845886,1499.99,1261.202101,0.840807006,0.161157521,6,0.5,0: Broadleaf,2,1712088653,371.8634,399.9534,19.76368667,14.61144667,381.3787333,20.19384,600.0173333,101.6375333,0.1154436,25.91898,999.9,25.99293333,0,0,10009.66133,0,147.3324667,1499.99,0.973007,0.026992853,0,488.0000667,4.9992,7848.492,12157.58667,43.5,45.4412,44.3162,44.25,44.53306667,1454.64,40.35,0,48.5,0,488.0043077,2.017230766,61.75760689,7848.765,15,1712088583,13:09:43,1712088571,1712088583,9,0.027,-0.016,-9.735,-0.53,400,14,0.14,0.03,-28.06097143,-0.604644156,0.07742468,0,5.151305238,0.099925714,0.021304279,1,1,2,1/2,100,100,-9.515,-0.4299,-6.524628705,-0.007814304,-3.18182E-07,6.4783E-10,-0.417055628,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.5,1.3,1.07056,2.48901,1.59912,2.29126,1.60156,2.51221,36.7892,15.3316,18,605.327,418.519,23.0019,27.8703,30.0002,27.8457,27.8548,21.4202,36.6514,38.2014,23,400,14.7264,100.383,102.91
