SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1712259274,2560,20240404 12:34:34,12:34:34,15,a4.phatan.1,116.1932337,1712259266,0.001341422,1.341421907,11.70964158,387.7814,192.5845167,19.59205561,39.44987314,0.10077731,2.959440368,0.098908918,0.061983056,241.7313718,25.59827808,25.11885333,3.202278435,60.06077809,1.856872585,3.091655892,1.345405851,-59.15670609,-93.95754803,-6.703699977,81.91341775,0,0,1,0,54227.90695,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-279-20240403-12_33_20,10246,310.2382692,543.0766473,0.428739441,0.5,1261.184741,11.70964158,270.3598202,0.010077542,4.069100308,369.2465116,-,0,369.2465116,0.320083982,1.339459221,0.927074381,-0.862813816,1.139104623,1.594228352,-0.594228352,1499.969333,1261.184741,0.840807017,0.161157543,6,0.5,0: Broadleaf,2,1712259266,387.7814,400.0109333,18.25254667,16.93564,396.9692667,18.69825333,600.0140667,101.6207333,0.1115136,24.52996,999.9,25.11885333,0,0,10009.17,0,432.7003333,1499.969333,0.973008133,0.026991907,0,310.3805333,4.9992,4928.354667,12157.42667,38.8288,40.4832,39.5956,39.5704,40.05373333,1454.619333,40.35,0,236.9000001,0,310.2382692,-14.68222222,-225.1569232,4925.800769,15,1712259243,12:34:03,1712259243,1712259226,8,0.04,0.003,-9.283,-0.478,400,17,0.27,0.07,-12.2343619,0.232745455,0.06040799,0,1.260509048,0.994468831,0.102906289,0,0,2,0/2,100,100,-9.188,-0.4455,-6.076168138,-0.007814304,-3.18182E-07,6.4783E-10,-0.398068524,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.5,0.8,1.07178,2.45117,1.59912,2.30103,1.60278,2.47192,31.4988,15.6293,18,594.56,451.965,23.0034,25.3939,29.9998,25.4426,25.459,21.4401,22.5798,47.848,23,400,16.8554,101.076,103.324
23,1712259325,2611,20240404 12:35:25,12:35:25,15,a4.phatan.1,114.1101037,1712259317,0.001378027,1.378027163,11.52788853,387.9175625,195.9030334,19.92946769,39.46335283,0.101024258,2.956365904,0.099144876,0.06213149,241.7455842,25.76860633,25.29854375,3.236714446,59.46288958,1.85814548,3.124882584,1.378568966,-60.7709979,-94.00345033,-6.726079235,80.24505679,0,0,1,0,54104.73667,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-280-20240403-12_34_11,10240.7,300.65656,529.4963646,0.432183901,0.5,1261.251301,11.52788853,272.5462539,0.009932904,4.199110294,362.917885,-,0,362.917885,0.314597967,1.373765718,0.930301661,-0.807366988,1.146104863,1.658251358,-0.658251358,1500.0475,1261.251301,0.840807575,0.161158619,6,0.5,0: Broadleaf,2,1712259317,387.9175625,399.9810625,18.26523125,16.91225625,397.1065,18.71066875,599.94775,101.6191875,0.112099375,24.70875,999.9,25.29854375,0,0,9991.8825,0,500.8414375,1500.0475,0.972992125,0.027007894,0,300.808875,4.9992,4783.7675,12157.99375,39.03875,40.6831875,39.753875,39.7460625,40.2460625,1454.6675,40.38,0,49.29999995,0,300.65656,-7.321999986,-81.53615377,4781.4964,15,1712259243,12:34:03,1712259243,1712259226,8,0.04,0.003,-9.283,-0.478,400,17,0.27,0.07,-12.0512619,0.077851948,0.063674571,1,1.369380952,-0.313242857,0.033313577,0,1,2,1/2,100,100,-9.189,-0.4447,-6.076168138,-0.007814304,-3.18182E-07,6.4783E-10,-0.398068524,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.4,1.6,1.07178,2.45972,1.59912,2.30103,1.60278,2.39624,31.4552,15.6118,18,595.21,452.34,23.0039,25.408,30.0004,25.4475,25.4693,21.4451,21.5594,47.477,23,400,17.0917,101.076,103.325
24,1712259380,2666,20240404 12:36:20,12:36:20,15,a4.phatan.1,114.598069,1712259372,0.001348821,1.348820637,11.31417635,388.1455,195.4012282,19.87875781,39.48721542,0.098729206,2.957189649,0.096933917,0.060742279,241.7413145,25.92511488,25.45316875,3.266605456,59.84559731,1.886860833,3.152881611,1.379744623,-59.4829901,-94.86663993,-6.796340023,80.59534444,0,0,1,0,54101.87702,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-281-20240403-12_35_06,10239.2,296.5373077,525.923729,0.436159102,0.5,1261.231576,11.31417635,275.0488156,0.009763612,4.234428204,361.2359766,-,0,361.2359766,0.313139992,1.392856591,0.931141221,-0.799221651,1.147946452,1.696750789,-0.696750789,1500.024375,1261.231576,0.840807387,0.161158258,6,0.5,0: Broadleaf,2,1712259372,388.1455,399.983125,18.54718125,17.2233875,397.33625,18.986675,600.0045625,101.620375,0.112648875,24.858125,999.9,25.45316875,0,0,9996.43625,0,579.413375,1500.024375,0.972995125,0.027004781,0,296.621625,4.9992,4731.655625,12157.81875,39.2460625,40.941,39.9803125,39.9645625,40.476375,1454.654375,40.37,0,53.29999995,0,296.5373077,-2.905299152,-35.70666661,4730.908462,15,1712259243,12:34:03,1712259243,1712259226,8,0.04,0.003,-9.283,-0.478,400,17,0.27,0.07,-11.85852,0.237879699,0.051450293,0,1.324685,-0.006682105,0.00358801,1,1,2,1/2,100,100,-9.191,-0.4393,-6.076168138,-0.007814304,-3.18182E-07,6.4783E-10,-0.398068524,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.3,2.6,1.07178,2.45239,1.59912,2.30103,1.60278,2.51099,31.4115,15.6118,18,595.558,452.079,23.0011,25.4629,30.0004,25.4838,25.507,21.4571,20.8557,47.477,23,400,17.2688,101.072,103.317
25,1712259657,2943,20240404 12:40:57,12:40:57,15,d3.phatan.1,81.31237111,1712259649,0.001028178,1.028178446,6.543183296,393.0698,254.5840598,25.89683707,39.98390385,0.080469715,2.960815448,0.079274181,0.049652297,241.7338284,25.52436433,24.64974,3.113881708,59.62997644,1.826594071,3.063214477,1.287287637,-45.34266947,-43.76237394,-3.111123043,149.517662,0,0,1,0,54296.42307,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-282-20240403-12_39_43,10231.6,169.1741154,265.960253,0.363912038,0.5,1261.197121,6.543183296,229.4824071,0.005980971,9.350832384,216.1312831,-,0,216.1312831,0.18735495,1.942366817,0.980357384,-0.176947768,1.28195004,2.481503932,-1.481503932,1499.984,1261.197121,0.840807049,0.161157605,6,0.5,0: Broadleaf,2,1712259649,393.0698,400.0170667,17.9567,16.94699333,402.2528667,18.40068667,600.0054,101.6112,0.110946667,24.37558,999.9,24.64974,0,0,10017.91667,0,333.5484,1499.984,0.973008933,0.026990747,0,169.2414,4.9992,2895.774,12157.56,38.93286667,40.5,39.687,39.68706667,40.13326667,1454.632,40.352,0,275.3,0,169.1741154,-4.137264953,-57.0892307,2895.15,15,1712259624,12:40:24,1712259624,1712259615,9,0.046,0.008,-9.236,-0.469,400,17,0.35,0.12,-6.944158,0.098077895,0.062653939,1,0.9741784,0.600681293,0.06689939,0,1,2,1/2,100,100,-9.183,-0.4442,-6.03031298,-0.007814304,-3.18182E-07,6.4783E-10,-0.390125186,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.6,0.7,1.07178,2.45483,1.59912,2.2998,1.60156,2.51221,31.2156,15.568,18,591.299,451.23,23.0024,25.3456,30.0005,25.4,25.4178,21.4595,21.2898,48.3532,23,400,17.026,101.075,103.326
26,1712259719,3005,20240404 12:41:59,12:41:59,15,d3.phatan.1,87.10733963,1712259711,0.000936493,0.936493447,6.26427108,393.3641333,245.6472838,24.987853,40.01397852,0.071914389,2.9567861,0.07095664,0.044432887,241.7367576,25.72604546,24.89342667,3.159530538,59.76021575,1.85004453,3.095779536,1.309486008,-41.29936103,-54.38728785,-3.879942369,142.1701664,0,0,1,0,54145.38855,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-283-20240403-12_40_45,10224.4,167.07544,266.7369833,0.373632265,0.5,1261.209241,6.26427108,235.6142327,0.005759767,9.320691065,216.643949,-,0,216.643949,0.187799358,1.98952898,0.980249298,-0.182463791,1.281549658,2.579789195,-1.579789195,1499.998,1261.209241,0.840807282,0.161158053,6,0.5,0: Broadleaf,2,1712259711,393.3641333,399.9970667,18.18717333,17.26767333,402.5493333,18.62647333,599.9747333,101.6105333,0.111955133,24.55224,999.9,24.89342667,0,0,9995.116,0,331.4324667,1499.998,0.9730012,0.026998493,0,167.1003333,4.9992,2860.12,12157.62667,39,40.625,39.77066667,39.8582,40.27066667,1454.634,40.364,0,60.5,0,167.07544,-0.853538445,-2.529230766,2860.058,15,1712259624,12:40:24,1712259624,1712259615,9,0.046,0.008,-9.236,-0.469,400,17,0.35,0.12,-6.6574385,0.549761955,0.068546295,0,0.91812305,0.034173519,0.003898362,1,1,2,1/2,100,100,-9.185,-0.4393,-6.03031298,-0.007814304,-3.18182E-07,6.4783E-10,-0.390125186,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.6,1.7,1.073,2.45728,1.59912,2.2998,1.60278,2.40723,31.2809,15.5505,18,592.125,451.605,23.0017,25.403,30.0004,25.4188,25.4337,21.4713,20.0389,48.3532,23,400,17.2813,101.064,103.312
27,1712259775,3061,20240404 12:42:55,12:42:55,15,d3.phatan.1,90.9799627,1712259767,0.000892214,0.892213616,6.160594342,393.4907333,239.5927154,24.37052493,40.02448785,0.067713749,2.957379368,0.066864075,0.041865498,241.7389608,25.84717803,25.04072,3.187405053,59.8109287,1.863832907,3.116207936,1.323572146,-39.34662049,-60.34524667,-4.309696469,137.7373972,0,0,1,0,54142.73161,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-284-20240403-12_41_41,10228.3,166.56676,267.7776635,0.377966191,0.5,1261.216441,6.160594342,238.348587,0.00567753,9.280581152,217.3299518,-,0,217.3299518,0.188394024,2.006253606,0.980104075,-0.185654142,1.281013218,2.617683141,-1.617683141,1500.006,1261.216441,0.840807597,0.161158663,6,0.5,0: Broadleaf,2,1712259767,393.4907333,400.0026667,18.32380667,17.44790667,402.6771333,18.76024667,599.9759333,101.6048,0.111668667,24.66223333,999.9,25.04072,0,0,9999.044667,0,334.1476667,1500.006,0.9729912,0.0270087,0,166.5692667,4.9992,2851.544,12157.64667,39.125,40.7458,39.875,40,40.3998,1454.626,40.38,0,54.0999999,0,166.56676,-0.048692318,-7.613846152,2851.7484,15,1712259624,12:40:24,1712259624,1712259615,9,0.046,0.008,-9.236,-0.469,400,17,0.35,0.12,-6.5135415,-0.043479248,0.059490026,1,0.87148905,0.088372105,0.008863675,1,2,2,2/2,100,100,-9.186,-0.4363,-6.03031298,-0.007814304,-3.18182E-07,6.4783E-10,-0.390125186,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.5,2.7,1.073,2.45239,1.59912,2.2998,1.60278,2.4585,31.3244,15.5417,18,592.011,451.437,23.0014,25.4645,30.0006,25.4518,25.4639,21.4737,19.1699,48.3532,23,400,17.44,101.051,103.301
28,1712259989,3274.9,20240404 12:46:29,12:46:29,15,d5.phatan.1,55.91787497,1712259981,0.003388038,3.388038429,14.13340502,384.6022,284.0438629,28.88739059,39.1142194,0.252752899,2.95517697,0.241327946,0.151813412,241.7394355,25.50369922,25.66966667,3.308862422,60.44676167,1.917763479,3.172648833,1.391098944,-149.4124947,-112.6038368,-8.085602033,-28.3624981,0,0,1,0,54022.90424,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-285-20240403-12_45_15,10245.6,284.40348,545.6101904,0.47874236,0.5,1261.221735,14.13340502,301.9001353,0.011999004,4.04556192,370.4159863,-,0,370.4159863,0.321097749,1.490955204,0.926466046,-0.977109958,1.137798656,1.941866684,-0.941866684,1500.012667,1261.221735,0.84080739,0.161158263,6,0.5,0: Broadleaf,2,1712259981,384.6022,400.0404,18.85698,15.53245333,393.783,19.30005333,599.9320667,101.5863333,0.1141234,24.96288667,999.9,25.66966667,0,0,9988.373333,0,408.253,1500.012667,0.973,0.027000313,0,284.4432667,4.9992,4519.970667,12157.75333,39.4538,41.1914,40.1622,40.37913333,40.7038,1454.649333,40.37,0,212.3000002,0,284.40348,-0.448923067,-1.91846155,4519.8888,15,1712259960,12:46:00,1712259956,1712259960,10,-0.063,-0.019,-9.301,-0.509,400,15,0.27,0.04,-15.45852,0.265136842,0.048606004,0,3.2149785,2.004939699,0.211761258,0,0,2,0/2,100,100,-9.181,-0.4443,-6.09389269,-0.007814304,-3.18182E-07,6.4783E-10,-0.408678759,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.6,0.5,1.07056,2.45117,1.59912,2.2998,1.60278,2.48169,31.7611,15.5067,18,587.611,445.134,23.0049,25.783,30.0011,25.6984,25.6994,21.4284,29.4353,48.2476,23,400,15.3622,100.988,103.251
29,1712260042,3327.9,20240404 12:47:22,12:47:22,15,d5.phatan.1,58.07254154,1712260034,0.003416353,3.416352776,14.39795144,384.2744667,280.0508396,28.48241758,39.08242461,0.247930451,2.957997963,0.236937102,0.149032774,241.7316316,25.65558067,25.83264,3.340986505,59.70651412,1.912402403,3.203004615,1.428584102,-150.6611574,-113.2216368,-8.135398491,-30.28656105,0,0,1,0,54076.99029,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-286-20240403-12_46_08,10236.6,284.80312,552.2350297,0.484271905,0.5,1261.183361,14.39795144,305.3778342,0.01220913,3.985033277,373.457571,-,0,373.457571,0.323734369,1.49589278,0.924866135,-1.025818621,1.134383744,1.9615392,-0.9615392,1499.967333,1261.183361,0.840807218,0.161157931,6,0.5,0: Broadleaf,2,1712260034,384.2744667,399.9852667,18.80352667,15.45140667,393.4528667,19.24778,599.9988,101.5902,0.114253467,25.12266,999.9,25.83264,0,0,10003.99133,0,408.4824667,1499.967333,0.973002667,0.0269974,0,284.7878667,4.9992,4528.440667,12157.38667,39.7248,41.4706,40.40806667,40.65393333,40.9664,1454.607333,40.36,0,51.5,0,284.80312,1.230538454,23.89923079,4528.8728,15,1712259960,12:46:00,1712259956,1712259960,10,-0.063,-0.019,-9.301,-0.509,400,15,0.27,0.04,-15.71390952,-0.16034026,0.056339514,0,3.363566667,-0.155546494,0.025568245,0,0,2,0/2,100,100,-9.179,-0.4434,-6.09389269,-0.007814304,-3.18182E-07,6.4783E-10,-0.408678759,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.4,1.4,1.07178,2.46338,1.59912,2.29858,1.60278,2.29858,31.8488,15.4804,18,588.355,444.527,23.0038,25.9402,30.0012,25.8164,25.8177,21.4362,27.6045,47.5007,23,400,15.4925,100.962,103.226
30,1712260092,3377.9,20240404 12:48:12,12:48:12,15,d5.phatan.1,58.00310132,1712260084,0.003430973,3.430972628,14.44332732,384.219125,280.0899868,28.48727062,39.07799175,0.24900957,2.954660369,0.237910691,0.149650144,241.7404362,25.73762052,25.9258625,3.35948403,59.97819904,1.930879351,3.219301984,1.428604679,-151.3058929,-114.3664267,-8.234319271,-32.1662026,0,0,1,0,53963.48694,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-287-20240403-12_46_58,10238.9,285.0824231,557.5211988,0.488660837,0.5,1261.229701,14.44332732,308.1567807,0.012244659,3.937767399,375.8676536,-,0,375.8676536,0.325823566,1.499771312,0.923580013,-1.066652263,1.131658879,1.977377342,-0.977377342,1500.0225,1261.229701,0.840807188,0.161157873,6,0.5,0: Broadleaf,2,1712260084,384.219125,399.9818125,18.98461875,15.61854375,393.397,19.42481875,599.9575625,101.59325,0.114315313,25.20789375,999.9,25.9258625,0,0,9984.765625,0,408.4905625,1500.0225,0.97300575,0.026994219,0,285.028875,4.9992,4536.538125,12157.85,39.937,41.7185,40.6131875,40.867125,41.1909375,1454.6625,40.36,0,48.5,0,285.0824231,1.491794879,15.03247862,4536.644615,15,1712259960,12:46:00,1712259956,1712259960,10,-0.063,-0.019,-9.301,-0.509,400,15,0.27,0.04,-15.75470952,-0.268893506,0.06188787,0,3.36378619,0.077463117,0.009092198,1,1,2,1/2,100,100,-9.178,-0.4399,-6.09389269,-0.007814304,-3.18182E-07,6.4783E-10,-0.408678759,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.3,2.2,1.07178,2.46094,1.59912,2.29858,1.60278,2.44019,31.9146,15.4892,18,588.714,443.862,23.0016,26.1014,30.0012,25.9416,25.9386,21.4442,26.4196,46.7545,23,400,15.6585,100.934,103.202
31,1712260338,3623.9,20240404 12:52:18,12:52:18,15,c7.phatan.1,49.59352573,1712260330,0.003555853,3.555852931,14.35224676,384.2995,294.2880576,29.92639763,39.07973616,0.289397589,2.956120408,0.274528865,0.172852752,241.7416685,25.29075936,24.9743375,3.174816014,60.19206735,1.890463087,3.140717989,1.284352927,-156.8131142,-28.84005939,-2.0612287,54.02726616,0,0,1,0,54081.20153,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-288-20240403-12_51_04,10240,326.5630769,557.6416488,0.414385425,0.5,1261.234126,14.35224676,261.3185199,0.0121724,3.936700847,375.922396,-,0,375.922396,0.32587102,1.271624048,0.92355061,-0.905145652,1.13159679,1.463827336,-0.463827336,1500.0275,1261.234126,0.840807336,0.161158158,6,0.5,0: Broadleaf,2,1712260330,384.2995,400.018125,18.5903,15.10058125,393.5395625,19.0413125,600.005125,101.576125,0.114707688,24.793375,999.9,24.9743375,0,0,9994.72625,0,494.2228125,1500.0275,0.972999063,0.027000625,0,326.6891875,4.9992,5184.07875,12157.8625,39.73425,41.444875,40.53875,40.5230625,40.937,1454.66,40.3675,0,244.5,0,326.5630769,-2.653128209,-43.86153846,5183.045769,15,1712260294,12:51:34,1712260290,1712260294,11,-0.061,-0.002,-9.363,-0.514,400,15,0.24,0.06,-15.714715,-0.29417594,0.072673305,0,3.5014275,-0.266159549,0.028136089,0,0,2,0/2,100,100,-9.239,-0.452,-6.154952544,-0.007814304,-3.18182E-07,6.4783E-10,-0.410830767,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.8,0.7,1.07056,2.46216,1.59912,2.29858,1.60278,2.45972,32.0464,15.4542,18,599.716,443.427,22.9981,26.0563,29.9997,26.0159,26.008,21.4337,29.7914,46.7877,23,400,15.0575,100.954,103.213
32,1712260392,3677.9,20240404 12:53:12,12:53:12,15,c7.phatan.1,51.92955266,1712260384,0.003419193,3.419192742,14.520848,384.1405,290.4347312,29.53384049,39.06262934,0.279625902,2.95753812,0.265724724,0.167269311,241.7344317,25.19673275,24.8348125,3.148497503,60.07630379,1.872332414,3.116590562,1.276165089,-150.7863999,-27.18966474,-1.939715724,61.81865138,0,0,1,0,54146.36444,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-289-20240403-12_51_58,10239.1,325.5769615,558.9523233,0.417522841,0.5,1261.195351,14.520848,263.2889327,0.012306458,3.92512489,376.517576,-,0,376.517576,0.326386956,1.279226492,0.923230378,-0.918859688,1.130921176,1.479377581,-0.479377581,1499.98125,1261.195351,0.840807411,0.161158302,6,0.5,0: Broadleaf,2,1712260384,384.1405,399.975125,18.41245,15.05614375,393.3791875,18.86728125,599.987625,101.5740625,0.114328438,24.6642875,999.9,24.8348125,0,0,10002.97125,0,488.116,1499.98125,0.972997188,0.0270027,0,325.50775,4.9992,5166.03375,12157.48125,39.675375,41.351375,40.48425,40.32775,40.88275,1454.61125,40.37,0,52.29999995,0,325.5769615,2.885777771,28.97675205,5166.406538,15,1712260294,12:51:34,1712260290,1712260294,11,-0.061,-0.002,-9.363,-0.514,400,15,0.24,0.06,-15.8527381,0.47294026,0.067158288,0,3.369879048,-0.295504675,0.030392614,0,0,2,0/2,100,100,-9.239,-0.4543,-6.154952544,-0.007814304,-3.18182E-07,6.4783E-10,-0.410830767,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.7,1.6,1.07178,2.46826,1.59912,2.29736,1.60278,2.36206,32.1124,15.4367,18,600.13,443.23,22.9974,25.9831,29.9994,25.9682,25.9639,21.4381,28.6055,45.6739,23,400,15.0939,100.967,103.226
33,1712260450,3735.9,20240404 12:54:10,12:54:10,15,c7.phatan.1,51.77599956,1712260442,0.003403598,3.403598139,14.57296218,384.0951333,290.6951135,29.55930192,39.05667307,0.281461726,2.958439248,0.267386412,0.168322444,241.7290198,25.04920165,24.69067333,3.121509057,60.18615628,1.858845967,3.088494235,1.262663091,-150.0986779,-28.36040458,-2.019610074,61.2503272,0,0,1,0,54200.41137,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-290-20240403-12_52_56,10237.4,326.92244,560.2208734,0.416440094,0.5,1261.164337,14.57296218,262.5996977,0.012348083,3.913972561,377.0927603,-,0,377.0927603,0.326885559,1.273962962,0.922919949,-0.923167665,1.130267275,1.469468446,-0.469468446,1499.944,1261.164337,0.840807615,0.161158696,6,0.5,0: Broadleaf,2,1712260442,384.0951333,399.9755333,18.28045333,14.93904667,393.3333333,18.73806,599.995,101.5707333,0.114161067,24.51286,999.9,24.69067333,0,0,10008.41333,0,482.9869333,1499.944,0.972991667,0.027008307,0,326.8989333,4.9992,5182.115333,12157.15333,39.4454,41.1746,40.3582,39.9122,40.7038,1454.569333,40.37933333,0,56.5,0,326.92244,2.867923075,29.81461538,5182.8156,15,1712260294,12:51:34,1712260290,1712260294,11,-0.061,-0.002,-9.363,-0.514,400,15,0.24,0.06,-15.88966667,0.006280519,0.045721948,1,3.349628095,-0.145457922,0.015599138,0,1,2,1/2,100,100,-9.238,-0.458,-6.154952544,-0.007814304,-3.18182E-07,6.4783E-10,-0.410830767,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.7,2.6,1.07056,2.46338,1.59912,2.29858,1.60278,2.30835,32.1564,15.4279,18,600.236,443.427,22.997,25.8774,29.9993,25.8914,25.889,21.436,29.48,44.5519,23,400,14.9889,100.984,103.244
34,1712260660,3945.9,20240404 12:57:40,12:57:40,15,c6.phatan.2,65.79393133,1712260652,0.002757754,2.757753883,15.60621259,383.36875,267.8081737,27.22974659,38.97951944,0.23719836,2.958279122,0.227116254,0.142817784,241.7390007,24.85479331,24.23575,3.037651281,60.63582612,1.832617604,3.022334685,1.205033677,-121.6169462,-13.44074535,-0.953265409,105.7280438,0,0,1,0,54261.4298,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-291-20240403-12_56_26,10203.8,436.7081538,712.0739657,0.386709563,0.5,1261.216651,15.60621259,243.8622697,0.01316682,2.866045007,440.2947834,-,0,440.2947834,0.381672685,1.013196852,0.882479722,-2.730123517,1.051991436,1.021518111,-0.021518111,1500.00625,1261.216651,0.840807597,0.161158662,6,0.5,0: Broadleaf,2,1712260652,383.36875,400.03075,18.0240375,15.316225,392.3520625,18.48184375,600.0521875,101.562875,0.113433875,24.151475,999.9,24.23575,0,0,10008.27875,0,450.9854375,1500.00625,0.972991688,0.027007838,0,436.8655625,4.9992,6854.3275,12157.65625,39,40.402125,39.625,39.75,40.187,1454.62625,40.38,0,208.2,0,436.7081538,-5.265162405,-85.05846159,6852.956923,15,1712260632,12:57:12,1712260632,1712260618,12,0.247,0.005,-9.113,-0.506,400,15,0.34,0.04,-16.633515,-0.437300752,0.072160566,0,2.6372355,1.395926165,0.139002841,0,0,2,0/2,100,100,-8.983,-0.4593,-5.90744187,-0.007814304,-3.18182E-07,6.4783E-10,-0.405639113,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.5,0.7,1.07178,2.45728,1.59912,2.29858,1.60278,2.43774,32.1564,15.4104,18,594.337,443.261,23.0024,25.5538,30.0003,25.6314,25.6526,21.4421,29.4078,43.7126,23,400,15.074,101.046,103.293
35,1712260715,4000.9,20240404 12:58:35,12:58:35,15,c6.phatan.2,68.33009982,1712260707,0.00276615,2.766149544,15.57368369,383.3431333,263.5087679,26.79197801,38.97601162,0.227918351,2.957704483,0.2185913,0.137425756,241.743489,25.05634178,24.43303333,3.073772265,59.42535114,1.818097698,3.059464796,1.255674567,-121.9871949,-12.42160402,-0.882939789,106.4517504,0,0,1,0,54207.27057,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-292-20240403-12_57_21,10199.7,432.9685,711.3447143,0.391337995,0.5,1261.243021,15.57368369,246.7861575,0.013140754,2.870008373,440.0158607,-,0,440.0158607,0.381430899,1.025973503,0.882688598,-2.740158393,1.052367344,1.042673113,-0.042673113,1500.038,1261.243021,0.84080738,0.161158243,6,0.5,0: Broadleaf,2,1712260707,383.3431333,399.977,17.88164667,15.16499333,392.3263333,18.34234667,600.0072667,101.5606,0.113352733,24.35513333,999.9,24.43303333,0,0,10005.24133,0,426.0028667,1500.038,0.972994467,0.027005313,0,433.0083333,4.9992,6788.288667,12157.92,39.0662,40.5,39.708,39.78306667,40.312,1454.668,40.37,0,53.5,0,432.9685,-2.966119664,-46.46256416,6787.833462,15,1712260632,12:57:12,1712260632,1712260618,12,0.247,0.005,-9.113,-0.506,400,15,0.34,0.04,-16.61251,-0.431720301,0.059966765,0,2.735264,-0.317904361,0.035529012,0,0,2,0/2,100,100,-8.983,-0.4597,-5.90744187,-0.007814304,-3.18182E-07,6.4783E-10,-0.405639113,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.4,1.6,1.07178,2.46948,1.59912,2.29736,1.60278,2.36816,32.1564,15.3929,18,595.367,443.02,23.0039,25.6003,30.0004,25.6512,25.6755,21.4483,27.3722,42.9687,23,400,15.3071,101.034,103.287
36,1712260771,4056.9,20240404 12:59:31,12:59:31,15,c6.phatan.2,68.99203967,1712260763,0.002743247,2.743247279,15.56136357,383.36275,262.4654135,26.68679616,38.97932085,0.22555303,2.953626291,0.216402324,0.136042672,241.7353295,25.13954961,24.55315625,3.095949221,59.81111662,1.838299744,3.073508485,1.257649476,-120.977205,-19.35611894,-1.379118211,100.0228873,0,0,1,0,54073.21969,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-293-20240403-12_58_17,10203.6,429.79,707.2201035,0.392282547,0.5,1261.200076,15.56136357,247.373389,0.013131432,2.892578826,438.4341721,-,0,438.4341721,0.3800598,1.032160061,0.883867471,-2.624298831,1.05449346,1.05291943,-0.05291943,1499.986875,1261.200076,0.840807407,0.161158296,6,0.5,0: Broadleaf,2,1712260763,383.36275,399.9768125,18.07973125,15.3859125,392.346,18.53643125,599.9624375,101.5630625,0.114319688,24.4316,999.9,24.55315625,0,0,9981.873125,0,451.690875,1499.986875,0.972996875,0.027003038,0,429.872125,4.9992,6755.816875,12157.525,39.2185,40.6210625,39.769375,40,40.444875,1454.616875,40.37,0,54.69999981,0,429.79,-3.438905984,-44.34666667,6755.092308,15,1712260632,12:57:12,1712260632,1712260618,12,0.247,0.005,-9.113,-0.506,400,15,0.34,0.04,-16.62441429,0.167236364,0.058721378,0,2.700595714,-0.098416364,0.014829658,1,1,2,1/2,100,100,-8.984,-0.4565,-5.90744187,-0.007814304,-3.18182E-07,6.4783E-10,-0.405639113,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.3,2.5,1.07178,2.4707,1.59912,2.29736,1.60278,2.31567,32.1344,15.3754,18,594.797,443.193,23.0007,25.6783,30.0007,25.703,25.7261,21.4554,26.1449,42.2195,23,400,15.4824,101.02,103.273
