SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1711571503,4721.1,20240327 13:31:43,13:31:43,15,j4.amsmen.1,56.82728734,1711571495,0.001904736,1.904736424,9.518140186,389.7054667,289.987326,29.49562493,39.63830571,0.167492425,2.957147178,0.162394957,0.101941913,241.7443496,25.39525017,24.14078667,3.020396962,60.24267757,1.855993298,3.080861232,1.164403663,-83.99887628,52.72633652,3.74522297,214.2170329,0,0,1,0,54170.62213,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-211-20240328-13_30_29,10307.5,214.1304231,363.7266497,0.411287506,0.5,1261.247001,9.518140186,259.3675667,0.008339477,6.568623311,276.5353246,-,0,276.5353246,0.239716626,1.715723742,0.964790738,-0.333021177,1.231554315,2.215744102,-1.215744102,1500.042667,1261.247001,0.840807417,0.161158316,6,0.5,0: Broadleaf,2,1711571495,389.7054667,399.9667333,18.24726667,16.37713333,399.3189333,18.68938667,599.9508667,101.6058,0.107696733,24.47151333,999.9,24.14078667,0,0,9997.629333,0,104.5746,1500.042667,0.9729952,0.027004573,0,214.1482667,4.9992,3436.106667,12157.97333,40.187,41.812,41.062,40.75,41.312,1454.670667,40.372,0,53.30000019,0,214.1304231,0.620888887,10.42188032,3436.073077,15,1711571420,13:30:20,1711571412,1711571420,13,0.031,0.025,-9.694,-0.478,400,16,0.13,0.04,-10.27114,0.200057143,0.049623789,0,1.8660515,0.087877444,0.00860967,1,1,2,1/2,100,100,-9.613,-0.442,-6.483779276,-0.007814304,-3.18182E-07,6.4783E-10,-0.3942804,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.5,1.4,1.07544,2.48291,1.59912,2.29248,1.60278,2.28638,33.5804,13.5717,18,598.49,438.219,22.9983,24.6554,29.9993,24.7978,24.8248,21.5137,20.5276,25.1044,23,400,16.3702,101.201,103.567
39,1711571556,4774.1,20240327 13:32:36,13:32:36,15,j4.amsmen.1,56.36415968,1711571548,0.001936121,1.93612122,9.629225145,389.6098667,290.6164204,29.55771849,39.62604297,0.170839505,2.955537667,0.165536951,0.103923298,241.7401114,25.3349982,24.08025333,3.009443158,60.18179205,1.848285692,3.071170912,1.161157467,-85.38294581,53.95854092,3.832646525,214.148353,0,0,1,0,54132.63786,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-212-20240328-13_31_22,10318.1,213.4706538,366.6156379,0.417726273,0.5,1261.2236,9.629225145,263.4231169,0.008427709,6.508981384,278.2020752,-,0,278.2020752,0.24116146,1.73214357,0.964273132,-0.343127935,1.230065126,2.257387267,-1.257387267,1500.014667,1261.2236,0.840807512,0.161158498,6,0.5,0: Broadleaf,2,1711571548,389.6098667,399.9941333,18.17265333,16.27158667,399.2227333,18.61631333,599.959,101.5999333,0.1070468,24.41889333,999.9,24.08025333,0,0,9989.080667,0,104.8621333,1500.014667,0.9729938,0.02700584,0,213.4500667,4.9992,3432.46,12157.74667,40.1498,41.75,41.03306667,40.687,41.26653333,1454.639333,40.376,0,51.70000005,0,213.4706538,0.34335043,10.06769227,3432.543846,15,1711571420,13:30:20,1711571412,1711571420,13,0.031,0.025,-9.694,-0.478,400,16,0.13,0.04,-10.41752,0.443413534,0.062793364,0,1.9096455,-0.142913233,0.014174232,0,0,2,0/2,100,100,-9.612,-0.4441,-6.483779276,-0.007814304,-3.18182E-07,6.4783E-10,-0.3942804,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.4,2.3,1.07544,2.47192,1.59912,2.29248,1.60278,2.47925,33.4681,13.5717,18,597.791,438.716,22.998,24.542,29.9991,24.6766,24.702,21.5122,20.7984,24.7336,23,400,16.2938,101.219,103.588
40,1711571844,5062.1,20240327 13:37:24,13:37:24,15,j7.amsmen.3,38.63015605,1711571836,0.003015289,3.01528867,12.18633249,386.7324375,316.1514569,32.15106019,39.32880145,0.315461643,2.955361241,0.297877175,0.1876714,241.7322939,24.49588745,22.99878125,2.819513731,61.07049011,1.813544956,2.969592929,1.005968775,-132.9742304,136.9615741,9.648516416,255.3681541,0,0,1,0,54229.33501,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-213-20240328-13_36_10,10314.7,272.9613462,463.2839709,0.410812022,0.5,1261.188563,12.18633249,259.0557117,0.010455481,4.942165438,330.5391207,-,0,330.5391207,0.286530203,1.433747708,0.945200443,-0.544320092,1.18023542,1.736178816,-0.736178816,1499.97375,1261.188563,0.84080709,0.161157683,6,0.5,0: Broadleaf,2,1711571836,386.7324375,400.0853125,17.83315625,14.87154375,396.1748125,18.29904375,599.9805625,101.586,0.1091195,23.85839375,999.9,22.99878125,0,0,9989.450625,0,151.45225,1499.97375,0.973007313,0.0269926,0,273.4871875,4.9992,4281.420625,12157.4625,39.3905,40.694875,40.17925,39.77325,40.4960625,1454.62,40.35375,0,286.5,0,272.9613462,-25.91470085,-408.7500854,4273.439231,15,1711571812,13:36:52,1711571805,1711571812,14,0.147,-0.016,-9.546,-0.518,400,15,0.1,0.02,-13.32699,-0.61513985,0.067931435,0,2.8679195,1.740342406,0.173692343,0,0,2,0/2,100,100,-9.443,-0.4682,-6.336898259,-0.007814304,-3.18182E-07,6.4783E-10,-0.409939815,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.7,0.5,1.07422,2.46582,1.59912,2.29248,1.60278,2.49023,32.8424,13.5016,18,596.685,437.676,22.9986,23.8705,29.9993,24.023,24.0419,21.4909,27.0554,28.4175,23,400,14.6034,101.343,103.704
41,1711571908,5126.1,20240327 13:38:28,13:38:28,15,j7.amsmen.3,41.44554159,1711571900,0.002908349,2.908349033,12.25808087,386.567125,311.3629042,31.66568561,39.31397376,0.295763559,2.959522506,0.280269152,0.17649266,241.7369686,24.3987209,22.88363125,2.79992258,59.99224867,1.76828261,2.947518469,1.03163997,-128.2581924,135.7393789,9.537418847,258.7555739,0,0,1,0,54375.0801,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-214-20240328-13_37_14,10302.6,259.053,450.0121125,0.424342161,0.5,1261.206131,12.25808087,267.5914679,0.010512224,5.117413118,323.7273116,-,0,323.7273116,0.280625337,1.512130606,0.948013461,-0.526168486,1.187076676,1.889644111,-0.889644111,1499.99375,1261.206131,0.840807591,0.161158651,6,0.5,0: Broadleaf,2,1711571900,386.567125,399.94825,17.3872,14.52968125,396.008125,17.861725,600.0550625,101.5913125,0.108938813,23.734375,999.9,22.88363125,0,0,10012.535,0,126.4138125,1499.99375,0.972991188,0.027008788,0,259.43175,4.9992,4064.235,12157.5625,39.3631875,40.4645625,40.042625,39.6405,40.42925,1454.615,40.379375,0,62.30000019,0,259.053,-14.93907691,-232.0676921,4058.458,15,1711571812,13:36:52,1711571805,1711571812,14,0.147,-0.016,-9.546,-0.518,400,15,0.1,0.02,-13.385455,-0.028533835,0.039887172,1,2.879368,-0.354920301,0.044202967,0,1,2,1/2,100,100,-9.441,-0.4745,-6.336898259,-0.007814304,-3.18182E-07,6.4783E-10,-0.409939815,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.7,1.6,1.07422,2.4585,1.59912,2.2937,1.60156,2.49146,32.7091,13.4841,18,597.283,437.965,22.9972,23.7151,29.9994,23.8712,23.8963,21.5012,25.4495,27.2997,23,400,14.6203,101.362,103.727
42,1711571964,5182.1,20240327 13:39:24,13:39:24,15,j7.amsmen.3,42.48460904,1711571956,0.002819225,2.819224505,12.17239646,386.692,309.859567,31.51494409,39.32935452,0.286513086,2.95686399,0.271934733,0.171207179,241.7358672,24.35795615,22.84325625,2.793081598,60.020352,1.762267669,2.936116851,1.030813929,-124.3278007,131.7915944,9.263447485,258.4631085,0,0,1,0,54308.44217,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-215-20240328-13_38_10,10305.5,254.2567692,445.6814092,0.42951004,0.5,1261.208401,12.17239646,270.8508354,0.010444266,5.176856254,321.4801042,-,0,321.4801042,0.27867733,1.541244998,0.94891841,-0.521231442,1.189309027,1.948737113,-0.948737113,1499.9975,1261.208401,0.840807002,0.161157513,6,0.5,0: Broadleaf,2,1711571956,386.692,399.9545625,17.326875,14.5565,396.134125,17.80254375,600.00025,101.5983125,0.108871813,23.67,999.9,22.84325625,0,0,9996.76,0,127.113,1499.9975,0.973008438,0.026991619,0,254.4895625,4.9992,3990.5775,12157.65625,39.253875,40.2224375,39.886625,39.42925,40.32775,1454.6475,40.35,0,54.5,0,254.2567692,-10.23152137,-159.1695727,3987.120385,15,1711571812,13:36:52,1711571805,1711571812,14,0.147,-0.016,-9.546,-0.518,400,15,0.1,0.02,-13.27134,0.256854135,0.05561252,0,2.7682915,0.03747203,0.006918975,1,1,2,1/2,100,100,-9.443,-0.4762,-6.336898259,-0.007814304,-3.18182E-07,6.4783E-10,-0.409939815,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.6,2.5,1.07544,2.46948,1.59912,2.2937,1.60278,2.40723,32.5982,13.4753,18,596.989,438.806,22.9979,23.5864,29.9994,23.743,23.7677,21.5136,24.3245,26.5513,23,400,14.6232,101.383,103.743
43,1711572277,5495.1,20240327 13:44:37,13:44:37,15,e2.amsmen.4,43.2259422,1711572269,0.002359183,2.359183419,9.758472737,389.4110667,311.6706019,31.69864672,39.60528761,0.225755004,2.956045845,0.216595436,0.136164132,241.7417302,24.95112055,23.45117333,2.897647771,60.09619616,1.81552639,3.021033786,1.082121381,-104.0399888,110.4610625,7.808931359,255.9717353,0,0,1,0,54197.60793,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-216-20240328-13_43_23,10303.3,244.6988,391.159616,0.374427241,0.5,1261.23908,9.758472737,236.1211348,0.008530082,6.037817524,292.110821,-,0,292.110821,0.253218356,1.478673375,0.959749338,-0.34724755,1.217413421,1.765176182,-0.765176182,1500.034,1261.23908,0.840806995,0.161157501,6,0.5,0: Broadleaf,2,1711572269,389.4110667,400.0884,17.8508,15.53369333,398.7737333,18.29819333,599.9905333,101.5978667,0.107737,24.1443,999.9,23.45117333,0,0,9992.164667,0,399.8356667,1500.034,0.973008,0.026992107,0,244.8354667,4.9992,4002.409333,12157.94667,38.6208,40.10813333,39.3456,39.2122,39.812,1454.684,40.35066667,0,311.5,0,244.6988,-6.759076937,-459.2969238,3994.7008,15,1711572250,13:44:10,1711572246,1711572250,15,0.1,0.019,-9.445,-0.491,400,15,0.25,0.05,-10.64866,-0.113900752,0.112893257,0,2.2072325,1.971438947,0.210541038,0,0,2,0/2,100,100,-9.363,-0.4484,-6.236963539,-0.007814304,-3.18182E-07,6.4783E-10,-0.391438866,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.5,0.5,1.07666,2.47437,1.59912,2.29248,1.60278,2.28149,32.1124,13.4053,18,593.084,441.054,23.0061,23.2979,30.0008,23.3673,23.3968,21.5457,22.6222,31.5456,23,400,15.436,101.417,103.778
44,1711572330,5548.1,20240327 13:45:30,13:45:30,15,e2.amsmen.4,44.88443558,1711572322,0.002372317,2.372316966,9.881314735,389.208875,308.6276275,31.38706595,39.58208383,0.220150139,2.955434414,0.211428566,0.132897662,241.7358672,25.07446095,23.64163125,2.931104646,59.67781519,1.816637146,3.044074487,1.1144675,-104.6191782,100.2764628,7.10177703,244.4949289,0,0,1,0,54156.33478,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-217-20240328-13_44_16,10307.5,241.43284,390.6205171,0.381924836,0.5,1261.208401,9.881314735,240.8434061,0.00862769,6.047530479,291.8100699,-,0,291.8100699,0.252957648,1.50983708,0.959851103,-0.353261207,1.217691311,1.824878769,-0.824878769,1499.9975,1261.208401,0.840807002,0.161157513,6,0.5,0: Broadleaf,2,1711572322,389.208875,400.0139375,17.8629125,15.53288125,398.5699375,18.31006875,599.976625,101.591,0.107821313,24.27098125,999.9,23.64163125,0,0,9989.37375,0,178.845625,1499.9975,0.973009063,0.026990938,0,241.4125,4.9992,3827.17375,12157.65625,38.7965,40.402125,39.5,39.4724375,40.034875,1454.6475,40.35,0,51.5,0,241.43284,-1.660692307,-6.526923027,3826.0752,15,1711572250,13:44:10,1711572246,1711572250,15,0.1,0.019,-9.445,-0.491,400,15,0.25,0.05,-10.80136667,-0.000818182,0.045634723,1,2.325791905,0.102332727,0.010728856,0,1,2,1/2,100,100,-9.361,-0.447,-6.236963539,-0.007814304,-3.18182E-07,6.4783E-10,-0.391438866,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.4,1.3,1.07666,2.45728,1.59912,2.29248,1.60278,2.47559,32.1124,13.4141,18,593.688,441.447,23.0012,23.4137,30.0008,23.4335,23.4606,21.5468,21.4641,31.1723,23,400,15.6095,101.395,103.755
45,1711572372,5590.1,20240327 13:46:12,13:46:12,15,e2.amsmen.4,45.38182113,1711572364,0.002370377,2.370377029,9.97170651,389.07725,307.6835053,31.28892494,39.56601073,0.219729095,2.959031372,0.211050256,0.132657606,241.7365655,25.12310244,23.7074,2.942736155,59.85464807,1.827387192,3.053041411,1.115348963,-104.533627,97.73539699,6.917410531,241.855746,0,0,1,0,54253.31042,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-218-20240328-13_44_58,10299.4,239.9488077,394.7034488,0.392078259,0.5,1261.212076,9.97170651,247.2469176,0.008699335,5.974628695,294.0826322,-,0,294.0826322,0.254927635,1.537998262,0.959077722,-0.370020556,1.215586679,1.884979473,-0.884979473,1500.001875,1261.212076,0.840806999,0.161157509,6,0.5,0: Broadleaf,2,1711572364,389.07725,399.9706875,17.9698375,15.64216875,398.437125,18.41483125,600.029125,101.5836875,0.10822775,24.32005625,999.9,23.7074,0,0,10010.49813,0,246.736,1500.001875,0.973009688,0.026990244,0,239.9586875,4.9992,3845.07125,12157.7,38.875,40.527125,39.601375,39.5659375,40.125,1454.651875,40.35,0,40.29999995,0,239.9488077,-0.665948714,67.40273508,3845.687308,15,1711572250,13:44:10,1711572246,1711572250,15,0.1,0.019,-9.445,-0.491,400,15,0.25,0.05,-10.899365,0.041959398,0.042018237,1,2.3423525,-0.328296992,0.031899939,0,1,2,1/2,100,100,-9.36,-0.4444,-6.236963539,-0.007814304,-3.18182E-07,6.4783E-10,-0.391438866,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.1,2,1.07666,2.46094,1.59912,2.2937,1.60278,2.49023,32.1124,13.4053,18,593.627,441.555,23.0021,23.4945,30.0007,23.4805,23.5007,21.5542,20.8481,31.1723,23,400,15.7353,101.381,103.744
46,1711572620,5838.1,20240327 13:50:20,13:50:20,15,j7.amsmen.1,64.52210455,1711572612,0.00124242,1.242420228,6.863028845,392.6818125,281.2784801,28.6047151,39.93391662,0.106367095,2.95939666,0.104287962,0.065363393,241.74019,25.03709882,23.9606375,2.987900169,60.47251443,1.804915869,2.984687979,1.1829843,-54.79073207,-2.85589117,-0.201979399,183.8915873,0,0,1,0,54333.13336,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-219-20240328-13_49_06,10292.1,205.6882308,317.5320866,0.352228517,0.5,1261.222947,6.863028845,222.1193438,0.006234448,7.669706515,248.9949822,-,0,248.9949822,0.215843083,1.631873082,0.972628023,-0.225762964,1.255366264,1.975456775,-0.975456775,1500.01375,1261.222947,0.84080759,0.161158649,6,0.5,0: Broadleaf,2,1711572612,392.6818125,400.0325625,17.7482625,16.52791875,402.0758125,18.1911125,600.012625,101.5879375,0.10741825,23.9427375,999.9,23.9606375,0,0,10012.15313,0,154.475625,1500.01375,0.972993125,0.027006994,0,205.7604375,4.9992,3306.665625,12157.70625,38.5,39.9724375,39.25775,39.13275,39.75,1454.63875,40.38,0,246.0999999,0,205.6882308,-5.193435905,-70.55111115,3305.840769,15,1711572584,13:49:44,1711572582,1711572584,16,-0.005,0.007,-9.451,-0.47,400,16,0.26,0.08,-7.37238619,0.493389351,0.056175217,0,1.176696286,0.82010026,0.089594574,0,0,2,0/2,100,100,-9.394,-0.4444,-6.2425,-0.0078143,-3.18182E-07,6.4783E-10,-0.384723216,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,0.6,0.6,1.0791,2.46338,1.59912,2.29248,1.60278,2.48047,31.7173,13.3528,18,592.327,444.773,22.9998,23.4396,29.9996,23.434,23.4392,21.591,16.6306,37.4534,23,400,16.425,101.412,103.77
47,1711572671,5889,20240327 13:51:11,13:51:11,15,j7.amsmen.1,69.86351571,1711572663,0.001182526,1.182525511,6.922354955,392.5911875,272.5781772,27.72054846,39.92558447,0.099083977,2.957082774,0.097275826,0.060957098,241.732608,25.05548201,23.9910625,2.99336693,59.83566158,1.786139233,2.985074762,1.207227697,-52.14937505,-7.360325845,-0.521043085,181.701864,0,0,1,0,54264.46026,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-220-20240328-13_49_57,10291.5,203.0291154,315.7108962,0.35691445,0.5,1261.183046,6.922354955,225.0672266,0.006281685,7.719718048,247.8737404,-,0,247.8737404,0.214871126,1.661062871,0.972919691,-0.226621263,1.256305035,2.02795479,-1.02795479,1499.96625,1261.183046,0.840807616,0.161158698,6,0.5,0: Broadleaf,2,1711572663,392.5911875,399.97775,17.5632375,16.4014875,401.984125,18.009675,600.003375,101.5906875,0.106919938,23.94489375,999.9,23.9910625,0,0,9998.75125,0,157.8281875,1499.96625,0.972992188,0.027008013,0,203.0815,4.9992,3267.8075,12157.325,38.5,39.8395625,39.1909375,39.0816875,39.75,1454.591875,40.38,0,49.9000001,0,203.0291154,-2.924136752,-30.47794875,3267.443846,15,1711572584,13:49:44,1711572582,1711572584,16,-0.005,0.007,-9.451,-0.47,400,16,0.26,0.08,-7.377374286,-0.156811169,0.041739061,0,1.16330619,-0.004726753,0.009611081,1,1,2,1/2,100,100,-9.394,-0.4463,-6.2425,-0.0078143,-3.18182E-07,6.4783E-10,-0.384723216,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,1.5,1.4,1.0791,2.46948,1.59912,2.2937,1.60278,2.35596,31.6517,13.3352,18,593.098,445.722,22.9998,23.3814,29.9995,23.3792,23.3855,21.5929,15.1706,38.2211,23,400,16.4792,101.426,103.78
48,1711572725,5943,20240327 13:52:05,13:52:05,15,j7.amsmen.1,72.18074197,1711572717,0.001138447,1.138446813,6.862542772,392.67025,268.9820946,27.35513627,39.93406406,0.095074428,2.957531402,0.093408576,0.058527599,241.7459832,25.09268179,24.05428125,3.004754041,60.02270794,1.794514695,2.989726317,1.210239345,-50.20550444,-13.30979099,-0.942491542,177.2881963,0,0,1,0,54272.99858,RECT-1505-20210918-17_20_47,10288.4,812.936,2752.91,0.704699391,-1,MPF-221-20240328-13_50_51,10289.1,201.3864615,313.4911009,0.357600707,0.5,1261.253401,6.862542772,225.512554,0.006233912,7.781461393,246.5033275,-,0,246.5033275,0.213683174,1.673508965,0.973273382,-0.224458473,1.257449275,2.048427313,-1.048427313,1500.05,1261.253401,0.840807574,0.161158617,6,0.5,0: Broadleaf,2,1711572717,392.67025,399.9798125,17.6454,16.52704375,402.0639375,18.09025625,600.0011875,101.5919375,0.10678825,23.97080625,999.9,24.05428125,0,0,10001.17313,0,169.926125,1500.05,0.972993125,0.027006969,0,201.4494375,4.9992,3248.813125,12158.0125,38.460625,39.70275,39.128875,39,39.6988125,1454.67,40.38,0,52.29999995,0,201.3864615,-0.967042729,7.748034172,3248.791154,15,1711572584,13:49:44,1711572582,1711572584,16,-0.005,0.007,-9.451,-0.47,400,16,0.26,0.08,-7.2998375,-0.355705714,0.045129007,0,1.1220775,-0.09247985,0.009639835,1,1,2,1/2,100,100,-9.394,-0.4445,-6.2425,-0.0078143,-3.18182E-07,6.4783E-10,-0.384723216,-0.027428369,0.001386821,-3.00526E-06,5,2011,2,27,2.4,2.3,1.08032,2.47437,1.59912,2.2937,1.60278,2.28149,31.5424,13.3177,18,593.382,446.406,22.9998,23.3061,29.9994,23.3093,23.3165,21.6039,14.0616,39.3629,23,400,16.5996,101.447,103.801
