Date,Plant_ID,Plant_ID_lf,date,Plant_ID_lic,Reason
5/6/24,I6.BRODIA.1-J2,I6.BRODIA.1-J2,NA,NA,changed licor record to 0.1
5/18/24,B6.CORFIL.2-A7,B6.CORFIL.2-A7,NA,NA,changed licor record 0.2
5/18/24,C2.CORFIL.1-A7,C2.CORFIL.1-A7,NA,NA,"removed ""cr"" from end of licor record"
5/5/24,H5.AVEBAR.1-e8,H5.AVEBAR.1-e8,NA,NA,"changed licor record to 0.1, and capitalized e8 in leaf record"
5/5/24,I4.AVEBAR.1-i1,I4.AVEBAR.1-i1,NA,NA,capitalized I in leaf record
5/2/24,23.C2.ESCCAL.1,23.C2.ESCCAL.1,NA,NA,added 23. to licor record
5/2/24,23.D7.ESCCAL.1,23.D7.ESCCAL.1,NA,NA,changed licor record to 0.1
5/2/24,23.E5.ESCCAL.1,23.E5.ESCCAL.1,NA,NA,added 23. to licor record
5/2/24,23.G7.ESCCAL.1,23.G7.ESCCAL.1,NA,NA,changed licor record to 0.1
5/2/24,23.I5.ESCCAL.1,23.I5.ESCCAL.1,NA,NA,changed licor record to 0.1
5/2/24,23.J8.ESCCAL.1,23.J8.ESCCAL.1,NA,NA,no licor
5/2/24,C2.ESCCAL.1,C2.ESCCAL.1,NA,NA,no licor
5/2/24,E5.ESCCAL.1,E5.ESCCAL.1,NA,NA,no licor
5/13/24,E5.BROHOR.1,E5.BROHOR.1,NA,NA,changed licor record to 0.1
5/2/24,C2.ESCCAL.1,C2.ESCCAL.1,NA,NA,no licor
5/2/24,E5.ESCCAL.1,E5.ESCCAL.1,NA,NA,no licor
5/2/24,J8.ESCCAL.1,J8.ESCCAL.1,NA,NA,no licor
NA,D6.GERDIS.1,D6.GERDIS.1,2024-04-24T14:24:45Z,D6.GERDIS.1,no idea why the date isn't working
5/13/24,F8.MADGRA.1,F8.MADGRA.1,NA,NA,changed licor record to 0.1
5/13/24,G3.STIPUL.2,G3.STIPUL.2,NA,NA,changed licor record 0.2
NA,D3.BROARE.1,NA,2024-03-18T12:15:03Z,D3.BROARE.1,changed licor record to 0.3
NA,D3.BROARE.1,NA,2024-03-18T12:15:53Z,D3.BROARE.1,changed licor record to 0.3
NA,B8.BROARE.1,NA,2024-03-18T12:25:02Z,B8.BROARE.1,changed licor record to 0.3
NA,A2.AMSMEN.1,NA,2024-03-18T13:09:57Z,A2.AMSMEN.1,changed licor record to 0.3
NA,G5.PLAERE.2,NA,2024-04-25T13:41:19Z,G5.PLAERE.2,"no leaf, averaged other leaves of control treatments"
NA,G5.PLAERE.2,NA,2024-04-25T13:42:15Z,G5.PLAERE.2,"no leaf, averaged other leaves of control treatments"
NA,G5.PLAERE.2,NA,2024-04-25T13:43:08Z,G5.PLAERE.2,"no leaf, averaged other leaves of control treatments"
NA,F2.LUPMIC.2,NA,2024-04-25T14:00:36Z,F2.LUPMIC.2,changed licor record to 0.1
NA,F2.LUPBIC.1,NA,2024-04-25T14:47:03Z,F2.LUPBIC.1,"error, should be g2"
NA,A4.BROMAD.2,NA,2024-04-26T11:26:23Z,A4.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,A2.BROMAD.2,NA,2024-04-26T11:29:26Z,A2.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,F2.BROMAD.2,NA,2024-04-26T11:33:44Z,F2.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,F7.BROMAD.2,NA,2024-04-26T11:38:10Z,F7.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,A5.BROMAD.2,NA,2024-04-26T11:42:42Z,A5.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,F4.BROMAD.2,NA,2024-04-26T11:54:10Z,F4.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,F4.BROMAD.2,NA,2024-04-26T11:55:07Z,F4.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,F4.BROMAD.2,NA,2024-04-26T11:55:42Z,F4.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,A7.BROMAD.2,NA,2024-04-26T12:12:32Z,A7.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,F6.BROMAD.2,NA,2024-04-26T12:20:00Z,F6.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
NA,G4.BROMAD.2,NA,2024-04-26T12:23:53Z,G4.BROMAD.2,"ACCIDENTALLY PUT NO LICOR, FIXED"
