sample,total.leaf.area,nchar,sample_short,perennial,plot_replace,no_licor
C8AIRCAR2_20240505,0.382,18,C8AIRCAR2_20240505,0,NA,NA
D1AIRCAR2_20240505,0.286,18,D1AIRCAR2_20240505,0,NA,NA
E1AIRCAR2_20240505,0.331,18,E1AIRCAR2_20240505,0,NA,NA
E3AIRCAR2_20240505,0.238,18,E3AIRCAR2_20240505,0,NA,NA
F1AIRCAR2_20240505,0.27,18,F1AIRCAR2_20240505,0,NA,NA
G6AIRCAR2_20240505,0.333,18,G6AIRCAR2_20240505,0,NA,NA
G7AIRCAR2_20240505,0.259,18,G7AIRCAR2_20240505,0,NA,NA
H2AIRCAR2_20240505,0.291,18,H2AIRCAR2_20240505,0,NA,NA
H6AIRCAR2_20240505,0.316,18,H6AIRCAR2_20240505,0,NA,NA
I5AIRCAR2_20240505,0.275,18,I5AIRCAR2_20240505,0,NA,NA
I6AIRCAR2_20240505,0.294,18,I6AIRCAR2_20240505,0,NA,NA
I8AIRCAR2_20240505,0.258,18,I8AIRCAR2_20240505,0,NA,NA
J2AIRCAR2_20240505,0.162,18,J2AIRCAR2_20240505,0,NA,NA
A2AMSMEN3_20240328,1.912,18,A2AMSMEN3_20240328,0,NA,NA
A4AMSMEN1_20240328,4.251,18,A4AMSMEN1_20240328,0,NA,NA
B8AMSMEN2_20240328,1.426,18,B8AMSMEN2_20240328,0,NA,NA
C6AMSMEN1_20240328,2.676,18,C6AMSMEN1_20240328,0,NA,NA
C7AMSMEN1_20240328,3.192,18,C7AMSMEN1_20240328,0,NA,NA
D3AMSMEN1_20240328,2.461,18,D3AMSMEN1_20240328,0,NA,NA
D3AMSMEN2_20240328,4.766,18,D3AMSMEN2_20240328,0,NA,NA
D5AMSMEN1_20240328,3.037,18,D5AMSMEN1_20240328,0,NA,NA
E2AMSMEN1_20240328,0.756,18,E2AMSMEN1_20240328,0,NA,no licor
E2AMSMEN3_20240328,3.501,18,E2AMSMEN3_20240328,0,NA,NA
E2AMSMEN4_20240328,2.133,18,E2AMSMEN4_20240328,0,NA,NA
E4AMSMEN1_20240328,3.783,18,E4AMSMEN1_20240328,0,NA,NA
F2AMSMEN1_20240328,3.27,18,F2AMSMEN1_20240328,0,NA,NA
G4AMSMEN1_20240328,3.384,18,G4AMSMEN1_20240328,0,NA,NA
H3AMSMEN1_20240328,0.566,18,H3AMSMEN1_20240328,0,NA,no licor
I3AMSMEN1_20240328,0.42,18,I3AMSMEN1_20240328,0,NA,no licor
J4AMSMEN1_20240328,2.015,18,J4AMSMEN1_20240328,0,NA,NA
J7AMSMEN1_20240328,2.449,18,J7AMSMEN1_20240328,0,NA,NA
J7AMSMEN3_20240328,2.346,18,J7AMSMEN3_20240328,0,NA,NA
A1AVEBAR1_20240505,1.208,18,A1AVEBAR1_20240505,0,NA,NA
A4AVEBAR2_20240506,1.676,18,A4AVEBAR2_20240506,0,NA,no licor
A8AVEBAR1_20240505,2.282,18,A8AVEBAR1_20240505,0,NA,NA
B2AVEBAR1_20240505,1.384,18,B2AVEBAR1_20240505,0,NA,NA
B8AVEBAR1_20240505,1.59,18,B8AVEBAR1_20240505,0,NA,NA
C1AVEBAR1_20240505,1.584,18,C1AVEBAR1_20240505,0,NA,NA
C3AVEBAR1_20240505,2.479,18,C3AVEBAR1_20240505,0,NA,NA
C7AVEBAR1_20240505,3.005,18,C7AVEBAR1_20240505,0,NA,NA
C8AVEBAR1_20240505,2.878,18,C8AVEBAR1_20240505,0,NA,NA
D1AVEBAR1_20240505,1.63,18,D1AVEBAR1_20240505,0,NA,NA
D2AVEBAR1_20240505,3.09,18,D2AVEBAR1_20240505,0,NA,NA
D3AVEBAR1_20240505,2.268,18,D3AVEBAR1_20240505,0,NA,NA
D4AVEBAR1_20240505,1.135,18,D4AVEBAR1_20240505,0,NA,NA
D5AVEBAR2_20240505,1.11,18,D5AVEBAR2_20240505,0,NA,NA
D6AVEBAR1_20240505,3.411,18,D6AVEBAR1_20240505,0,NA,NA
E1AVEBAR1_20240505,2.383,18,E1AVEBAR1_20240505,0,NA,NA
E2AVEBAR1_20240505,1.472,18,E2AVEBAR1_20240505,0,NA,NA
E3AVEBAR2_20240505,2.199,18,E3AVEBAR2_20240505,0,NA,NA
E4AVEBAR1_20240505,1.605,18,E4AVEBAR1_20240505,0,NA,NA
E7AVEBAR1_20240505,2.224,18,E7AVEBAR1_20240505,0,NA,NA
E8AVEBAR1_20240505,3.002,18,E8AVEBAR1_20240505,0,NA,NA
F2AVEBAR1_20240505,2.4,18,F2AVEBAR1_20240505,0,NA,NA
F3AVEBAR1_20240505,2.18,18,F3AVEBAR1_20240505,0,NA,NA
F4AVEBAR1_20240505,2.263,18,F4AVEBAR1_20240505,0,NA,NA
F5AVEBAR1_20240505,2.549,18,F5AVEBAR1_20240505,0,NA,NA
F7AVEBAR1_20240505,2.864,18,F7AVEBAR1_20240505,0,NA,NA
F8AVEBAR1_20240505,2.859,18,F8AVEBAR1_20240505,0,NA,NA
G5AVEBAR1_20240505,2.545,18,G5AVEBAR1_20240505,0,NA,NA
G8AVEBAR1_20240505,2.442,18,G8AVEBAR1_20240505,0,NA,NA
H2AVEBAR1_20240505,1.982,18,H2AVEBAR1_20240505,0,NA,NA
H4AVEBAR1_20240505,2.415,18,H4AVEBAR1_20240505,0,NA,NA
H6AVEBAR1_20240505,2.288,18,H6AVEBAR1_20240505,0,NA,NA
I1AVEBAR1_20240505,1.717,18,I1AVEBAR1_20240505,0,NA,NA
